#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
4.000 -23.072 -23.824 -26.394 -26.596 -23.826 -23.364 -29.643 -25.715 -25.623 -24.201 -31.899 -24.280 -24.488 -24.335 -23.666
4.010 -22.988 -23.712 -26.344 -26.428 -23.714 -23.249 -29.416 -25.559 -25.563 -24.173 -31.641 -24.202 -24.439 -24.237 -23.633
4.020 -22.904 -23.602 -26.294 -26.263 -23.603 -23.136 -29.194 -25.407 -25.504 -24.144 -31.388 -24.127 -24.394 -24.151 -23.601
4.030 -22.820 -23.494 -26.242 -26.101 -23.496 -23.026 -28.977 -25.259 -25.445 -24.115 -31.141 -24.055 -24.353 -24.075 -23.571
4.040 -22.736 -23.389 -26.188 -25.943 -23.391 -22.918 -28.765 -25.115 -25.385 -24.085 -30.899 -23.987 -24.316 -24.010 -23.543
4.050 -22.652 -23.286 -26.129 -25.789 -23.288 -22.814 -28.558 -24.976 -25.326 -24.054 -30.663 -23.922 -24.282 -23.954 -23.516
4.060 -22.569 -23.187 -26.066 -25.638 -23.189 -22.712 -28.356 -24.842 -25.266 -24.023 -30.432 -23.860 -24.250 -23.906 -23.491
4.070 -22.486 -23.091 -25.997 -25.491 -23.093 -22.614 -28.158 -24.715 -25.205 -23.989 -30.205 -23.801 -24.220 -23.864 -23.467
4.080 -22.405 -22.999 -25.922 -25.348 -23.001 -22.518 -27.965 -24.594 -25.141 -23.953 -29.984 -23.746 -24.191 -23.829 -23.444
4.090 -22.326 -22.910 -25.841 -25.210 -22.912 -22.427 -27.776 -24.480 -25.076 -23.914 -29.768 -23.692 -24.164 -23.798 -23.421
4.100 -22.248 -22.824 -25.755 -25.076 -22.827 -22.339 -27.591 -24.373 -25.008 -23.871 -29.556 -23.642 -24.136 -23.772 -23.399
4.110 -22.173 -22.743 -25.665 -24.947 -22.747 -22.256 -27.411 -24.275 -24.937 -23.824 -29.348 -23.594 -24.108 -23.748 -23.377
4.120 -22.101 -22.667 -25.572 -24.824 -22.671 -22.177 -27.235 -24.185 -24.863 -23.772 -29.146 -23.549 -24.080 -23.728 -23.356
4.130 -22.034 -22.596 -25.478 -24.706 -22.600 -22.103 -27.062 -24.101 -24.786 -23.716 -28.947 -23.506 -24.052 -23.709 -23.335
4.140 -21.971 -22.532 -25.385 -24.596 -22.536 -22.036 -26.894 -24.025 -24.706 -23.655 -28.753 -23.467 -24.023 -23.692 -23.314
4.150 -21.913 -22.474 -25.295 -24.493 -22.478 -21.975 -26.729 -23.954 -24.625 -23.592 -28.563 -23.430 -23.994 -23.676 -23.294
4.160 -21.863 -22.423 -25.209 -24.398 -22.428 -21.922 -26.568 -23.889 -24.543 -23.528 -28.377 -23.397 -23.965 -23.662 -23.274
