#
# CIE cooling function for Z=10 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
4.000 -22.288 -23.824 -26.367 -26.596 -23.826
4.010 -22.236 -23.712 -26.320 -26.428 -23.714
4.020 -22.185 -23.602 -26.272 -26.263 -23.603
4.030 -22.134 -23.494 -26.222 -26.101 -23.496
4.040 -22.084 -23.389 -26.169 -25.943 -23.391
4.050 -22.035 -23.286 -26.113 -25.789 -23.288
4.060 -21.987 -23.187 -26.052 -25.638 -23.189
4.070 -21.938 -23.091 -25.985 -25.491 -23.093
4.080 -21.890 -22.999 -25.911 -25.348 -23.001
4.090 -21.842 -22.910 -25.832 -25.210 -22.912
4.100 -21.794 -22.824 -25.748 -25.076 -22.827
4.110 -21.746 -22.743 -25.659 -24.947 -22.747
4.120 -21.698 -22.667 -25.567 -24.824 -22.671
4.130 -21.651 -22.596 -25.474 -24.706 -22.600
4.140 -21.606 -22.531 -25.382 -24.596 -22.536
4.150 -21.562 -22.474 -25.292 -24.493 -22.478
4.160 -21.522 -22.423 -25.207 -24.398 -22.428
4.170 -21.485 -22.380 -25.126 -24.312 -22.386
4.180 -21.451 -22.345 -25.052 -24.234 -22.352
4.190 -21.421 -22.318 -24.984 -24.164 -22.326
4.200 -21.395 -22.300 -24.924 -24.104 -22.308
4.210 -21.374 -22.289 -24.871 -24.052 -22.298
4.220 -21.357 -22.285 -24.825 -24.008 -22.295
4.230 -21.344 -22.288 -24.785 -23.971 -22.299
4.240 -21.334 -22.297 -24.751 -23.940 -22.309
4.250 -21.326 -22.310 -24.722 -23.914 -22.323
4.260 -21.321 -22.327 -24.697 -23.893 -22.341
4.270 -21.317 -22.348 -24.675 -23.876 -22.363
4.280 -21.315 -22.371 -24.656 -23.862 -22.387
4.290 -21.313 -22.396 -24.640 -23.851 -22.414
4.300 -21.312 -22.423 -24.626 -23.842 -22.442
4.310 -21.311 -22.450 -24.613 -23.835 -22.472
4.320 -21.310 -22.478 -24.601 -23.828 -22.502
4.330 -21.309 -22.507 -24.590 -23.823 -22.532
4.340 -21.306 -22.536 -24.579 -23.819 -22.563
4.350 -21.303 -22.565 -24.569 -23.815 -22.595
4.360 -21.299 -22.594 -24.559 -23.812 -22.626
4.370 -21.293 -22.622 -24.549 -23.809 -22.657
4.380 -21.287 -22.650 -24.538 -23.807 -22.688
4.390 -21.279 -22.677 -24.527 -23.805 -22.718
4.400 -21.270 -22.704 -24.516 -23.802 -22.748
4.410 -21.260 -22.730 -24.504 -23.800 -22.777
4.420 -21.249 -22.755 -24.492 -23.798 -22.805
4.430 -21.237 -22.780 -24.479 -23.796 -22.833
4.440 -21.225 -22.803 -24.465 -23.794 -22.861
4.450 -21.211 -22.827 -24.452 -23.792 -22.888
4.460 -21.196 -22.849 -24.438 -23.790 -22.915
4.470 -21.181 -22.871 -24.425 -23.788 -22.941
4.480 -21.166 -22.893 -24.412 -23.786 -22.968
4.490 -21.150 -22.915 -24.400 -23.784 -22.995
4.500 -21.133 -22.936 -24.388 -23.783 -23.021
4.510 -21.116 -22.957 -24.377 -23.782 -23.048
4.520 -21.098 -22.978 -24.367 -23.781 -23.075
4.530 -21.080 -22.999 -24.357 -23.780 -23.101
4.540 -21.061 -23.020 -24.348 -23.779 -23.128
4.550 -21.043 -23.040 -24.339 -23.779 -23.155
4.560 -21.023 -23.059 -24.331 -23.779 -23.181
4.570 -21.004 -23.078 -24.324 -23.778 -23.207
4.580 -20.984 -23.097 -24.316 -23.778 -23.232
4.590 -20.964 -23.114 -24.309 -23.778 -23.257
4.600 -20.944 -23.131 -24.302 -23.779 -23.281
4.610 -20.924 -23.147 -24.295 -23.779 -23.304
4.620 -20.903 -23.161 -24.288 -23.779 -23.326
4.630 -20.883 -23.174 -24.282 -23.779 -23.346
4.640 -20.862 -23.186 -24.275 -23.780 -23.363
4.650 -20.841 -23.195 -24.269 -23.780 -23.378
4.660 -20.820 -23.202 -24.263 -23.780 -23.390
4.670 -20.800 -23.207 -24.256 -23.781 -23.398
4.680 -20.779 -23.209 -24.250 -23.781 -23.402
4.690 -20.758 -23.208 -24.244 -23.782 -23.401
4.700 -20.737 -23.204 -24.238 -23.782 -23.395
4.710 -20.717 -23.195 -24.232 -23.782 -23.383
4.720 -20.696 -23.183 -24.225 -23.782 -23.365
4.730 -20.676 -23.167 -24.219 -23.782 -23.342
4.740 -20.656 -23.147 -24.213 -23.782 -23.314
4.750 -20.636 -23.124 -24.207 -23.782 -23.280
4.760 -20.617 -23.097 -24.201 -23.781 -23.243
4.770 -20.597 -23.067 -24.195 -23.779 -23.203
4.780 -20.578 -23.035 -24.189 -23.777 -23.160
4.790 -20.560 -23.001 -24.183 -23.775 -23.116
