#
# Nicastro et al. 2018 RGS1 Spectrum
#
# Column1: wavelength (angstrom), column2: err_wavelength
# Column3: flux (Jansky), column4: err_flux
# Column 5: Best-fit model, 6: continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           continuum
8.020000460000000331e+00        1.999999209999999902e-02        1.714737779999999902e-06        6.212891890000000228e-08        1.768121710000000042e-06        1.768121710000000042e-06
8.060000419999999721e+00        2.000011689999999995e-02        1.741297870000000064e-06        6.237888780000000618e-08        1.781700689999999988e-06        1.781700689999999988e-06
8.095000269999999887e+00        1.499963370000000074e-02        1.864675710000000100e-06        7.422185180000000354e-08        1.793868019999999920e-06        1.793868019999999920e-06
8.125000000000000000e+00        1.500057519999999957e-02        1.908889319999999852e-06        7.366825370000000474e-08        1.804249560000000018e-06        1.804249560000000018e-06
8.160000800000000609e+00        1.999979840000000106e-02        1.705099179999999979e-06        6.186375150000000246e-08        1.816207830000000105e-06        1.816207830000000105e-06
8.200000760000000000e+00        2.000014300000000148e-02        1.778467440000000047e-06        6.204058419999999598e-08        1.830009410000000096e-06        1.830009410000000096e-06
8.240000719999999390e+00        2.000022489999999861e-02        1.832290649999999980e-06        6.419811879999999506e-08        1.844052579999999987e-06        1.844052579999999987e-06
8.275000569999999556e+00        1.499960479999999999e-02        1.849031950000000067e-06        7.395829729999999675e-08        1.856101109999999901e-06        1.856101109999999901e-06
8.310000419999999721e+00        2.000020070000000164e-02        1.815897799999999909e-06        6.328789229999999445e-08        1.868177830000000007e-06        1.868177830000000007e-06
8.350000380000000888e+00        1.999980579999999925e-02        1.772250130000000105e-06        6.307156750000000333e-08        1.882405740000000038e-06        1.882405740000000038e-06
8.385000229999999277e+00        1.499982740000000044e-02        1.865090889999999927e-06        7.407155779999999782e-08        1.894531919999999988e-06        1.894531919999999988e-06
8.415000920000000662e+00        1.500046070000000085e-02        1.902117449999999950e-06        7.378677939999999675e-08        1.904942789999999966e-06        1.904942789999999966e-06
8.445000650000000775e+00        1.499960759999999921e-02        1.996520040000000132e-06        7.542804069999999694e-08        1.915533629999999934e-06        1.915533629999999934e-06
8.475000380000000888e+00        1.500001360000000061e-02        1.846462959999999916e-06        7.349457580000000441e-08        1.926229740000000179e-06        1.926229740000000179e-06
8.505000109999999225e+00        1.500033589999999993e-02        1.954093700000000078e-06        7.622158190000000324e-08        1.936692119999999815e-06        1.936692119999999815e-06
8.535000800000000609e+00        1.499988420000000072e-02        1.945809340000000072e-06        7.677904530000000501e-08        1.947171090000000127e-06        1.947171090000000127e-06
8.565000530000000722e+00        1.499971559999999961e-02        2.072290270000000115e-06        7.673018840000000002e-08        1.957843549999999921e-06        1.957843549999999921e-06
8.595000269999999887e+00        1.499985250000000075e-02        1.920065639999999921e-06        7.561032330000000553e-08        1.968594010000000174e-06        1.968594010000000174e-06
8.625000000000000000e+00        1.500031999999999928e-02        1.997481149999999953e-06        7.746051270000000307e-08        1.979121410000000194e-06        1.979121410000000194e-06
8.655000689999999608e+00        1.500005830000000068e-02        1.992521219999999877e-06        7.626587719999999672e-08        1.989664720000000118e-06        1.989664720000000118e-06
8.685000419999999721e+00        1.499979010000000029e-02        2.072942149999999890e-06        7.685772370000000530e-08        2.000415630000000098e-06        2.000415630000000098e-06
8.715000149999999834e+00        1.499989720000000082e-02        2.034828869999999888e-06        7.726013960000000311e-08        2.011216339999999885e-06        2.011216339999999885e-06
8.744999890000000775e+00        1.500040390000000057e-02        2.008912590000000085e-06        7.776188940000000620e-08        2.021805359999999815e-06        2.021805359999999815e-06
8.775000569999999556e+00        1.499985159999999915e-02        2.030661789999999982e-06        7.618027100000000158e-08        2.032409159999999996e-06        2.032409159999999996e-06
8.805000310000000496e+00        1.499972119999999978e-02        2.065521130000000164e-06        7.774670509999999827e-08        2.043234420000000111e-06        2.043234420000000111e-06
8.835000040000000610e+00        1.500041499999999958e-02        2.083152820000000186e-06        8.204699500000000180e-08        2.054081279999999807e-06        2.054081279999999807e-06
8.865000719999999390e+00        1.499969509999999999e-02        2.222824609999999830e-06        8.498530950000000071e-08        2.064727820000000020e-06        2.064727820000000020e-06
8.895000460000000331e+00        1.500020919999999966e-02        2.158393269999999891e-06        8.424687789999999906e-08        2.075388009999999985e-06        2.075388009999999985e-06
8.930000310000000496e+00        1.999986540000000049e-02        2.100119900000000208e-06        7.480841189999999457e-08        2.088112300000000113e-06        2.088112300000000113e-06
8.970000269999999887e+00        1.999995670000000170e-02        2.091884880000000035e-06        7.451392750000000309e-08        2.102518919999999798e-06        2.102518919999999798e-06
9.005001070000000496e+00        1.500043459999999933e-02        2.219755059999999940e-06        8.371635829999999346e-08        2.115014009999999866e-06        2.115014009999999866e-06
9.040000920000000662e+00        1.999982070000000042e-02        2.078991200000000181e-06        7.289827410000000501e-08        2.127699419999999988e-06        2.127699419999999988e-06
9.080000880000000052e+00        2.000003120000000065e-02        2.118102429999999809e-06        7.772240449999999766e-08        2.142264979999999821e-06        2.142264979999999821e-06
9.120000839999999442e+00        1.999989710000000045e-02        2.183871630000000176e-06        7.533470380000000081e-08        2.156603609999999994e-06        2.156603609999999994e-06
9.155000689999999608e+00        1.500027070000000025e-02        2.329840749999999924e-06        9.236142519999999889e-08        2.169280149999999915e-06        2.169280149999999915e-06
9.185000419999999721e+00        1.499937290000000027e-02        2.172775789999999821e-06        8.202872689999999353e-08        2.180379620000000097e-06        2.180379620000000097e-06
9.215000149999999834e+00        1.500035639999999955e-02        2.248300920000000090e-06        7.922390919999999940e-08        2.191171920000000082e-06        2.191171920000000082e-06
9.245000839999999442e+00        1.499998290000000012e-02        2.188930470000000117e-06        7.815299340000000626e-08        2.201975349999999995e-06        2.201975349999999995e-06
9.275000569999999556e+00        1.499988979999999916e-02        2.167134430000000139e-06        7.850380969999999994e-08        2.212914520000000178e-06        2.212914520000000178e-06
9.305000310000000496e+00        1.500009650000000069e-02        2.114936709999999829e-06        7.738812970000000117e-08        2.224045149999999890e-06        2.224045149999999890e-06
9.335000989999999277e+00        1.500020359999999948e-02        2.253372710000000209e-06        7.997132199999999864e-08        2.234879960000000131e-06        2.234879960000000131e-06
9.365000719999999390e+00        1.499979759999999981e-02        2.309088129999999979e-06        7.893616070000000281e-08        2.245724769999999801e-06        2.245724769999999801e-06
9.395000460000000331e+00        1.499972769999999983e-02        2.352703180000000038e-06        8.037009280000000082e-08        2.256718969999999917e-06        2.256718969999999917e-06
9.425000190000000444e+00        1.500001549999999996e-02        2.159522410000000011e-06        7.816537819999999694e-08        2.267876650000000133e-06        2.267876650000000133e-06
9.455000880000000052e+00        1.500068230000000009e-02        2.401859769999999790e-06        8.095300070000000222e-08        2.280754640000000035e-06        2.280754640000000035e-06
9.485000610000000165e+00        1.499957870000000019e-02        2.422505759999999818e-06        8.128062490000000620e-08        2.295696050000000173e-06        2.295696050000000173e-06
9.515000340000000278e+00        1.499972769999999983e-02        2.397156320000000051e-06        8.104809980000000092e-08        2.306819620000000110e-06        2.306819620000000110e-06
9.545000079999999443e+00        1.500029490000000069e-02        2.286571089999999792e-06        7.836057850000000232e-08        2.318078940000000141e-06        2.318078940000000141e-06
