#
# M101 Holmberg II HII Region Spectrum
# Large Binocular Telescope + MODS1 spectrograph
# Unpublished data acquired by Kevin Croxall & Richard Pogge (OSU)
#
# lam - wavelength in Angstroms from 3500-9900A
# flam - relative F_lambda flux units (erg/s/cm^2/A)
#
lam    flam
3500.0 1.734171e-16
3501.0 1.741189e-16
3502.0 1.746012e-16
3503.0 1.769289e-16
3504.0 1.779011e-16
3505.0 1.757655e-16
3506.0 1.738918e-16
3507.0 1.721482e-16
3508.0 1.722791e-16
3509.0 1.720596e-16
3510.0 1.707361e-16
3511.0 1.719861e-16
3512.0 1.722998e-16
3513.0 1.751315e-16
3514.0 1.741669e-16
3515.0 1.688775e-16
3516.0 1.646290e-16
3517.0 1.650915e-16
3518.0 1.667664e-16
3519.0 1.653261e-16
3520.0 1.666072e-16
3521.0 1.704026e-16
3522.0 1.683641e-16
3523.0 1.681634e-16
3524.0 1.678460e-16
3525.0 1.660806e-16
3526.0 1.683952e-16
3527.0 1.701134e-16
3528.0 1.685440e-16
3529.0 1.708124e-16
3530.0 1.730902e-16
3531.0 1.722188e-16
3532.0 1.694474e-16
3533.0 1.648325e-16
3534.0 1.639215e-16
3535.0 1.694182e-16
3536.0 1.729715e-16
3537.0 1.721962e-16
3538.0 1.757731e-16
3539.0 1.735923e-16
3540.0 1.678912e-16
3541.0 1.663039e-16
3542.0 1.684705e-16
3543.0 1.704149e-16
3544.0 1.702962e-16
3545.0 1.730026e-16
3546.0 1.753746e-16
3547.0 1.763326e-16
3548.0 1.769694e-16
3549.0 1.749431e-16
3550.0 1.697705e-16
3551.0 1.659544e-16
3552.0 1.687475e-16
3553.0 1.720813e-16
3554.0 1.745409e-16
3555.0 1.771729e-16
3556.0 1.748480e-16
3557.0 1.722556e-16
3558.0 1.704949e-16
3559.0 1.700258e-16
3560.0 1.707493e-16
3561.0 1.688257e-16
3562.0 1.706645e-16
3563.0 1.701916e-16
3564.0 1.675624e-16
3565.0 1.674409e-16
3566.0 1.694342e-16
3567.0 1.678874e-16
3568.0 1.665498e-16
3569.0 1.665187e-16
3570.0 1.655098e-16
3571.0 1.663934e-16
3572.0 1.667966e-16
3573.0 1.655851e-16
3574.0 1.662521e-16
3575.0 1.669567e-16
3576.0 1.673825e-16
3577.0 1.666487e-16
3578.0 1.679458e-16
3579.0 1.685760e-16
3580.0 1.683189e-16
3581.0 1.666110e-16
3582.0 1.681842e-16
3583.0 1.647251e-16
3584.0 1.615081e-16
3585.0 1.659761e-16
3586.0 1.714633e-16
3587.0 1.721030e-16
3588.0 1.710064e-16
3589.0 1.683321e-16
3590.0 1.663990e-16
3591.0 1.649380e-16
3592.0 1.641862e-16
3593.0 1.647307e-16
3594.0 1.648033e-16
3595.0 1.642597e-16
3596.0 1.632725e-16
3597.0 1.631170e-16
3598.0 1.639187e-16
3599.0 1.639394e-16
3600.0 1.647901e-16
3601.0 1.653223e-16
3602.0 1.631123e-16
3603.0 1.646525e-16
3604.0 1.644057e-16
3605.0 1.616974e-16
3606.0 1.630605e-16
3607.0 1.645254e-16
3608.0 1.636775e-16
3609.0 1.620544e-16
3610.0 1.640044e-16
3611.0 1.688191e-16
3612.0 1.738702e-16
3613.0 1.765531e-16
3614.0 1.753426e-16
3615.0 1.709688e-16
3616.0 1.653072e-16
3617.0 1.645922e-16
3618.0 1.648447e-16
3619.0 1.656605e-16
3620.0 1.651622e-16
3621.0 1.630473e-16
3622.0 1.634797e-16
3623.0 1.661296e-16
3624.0 1.673458e-16
3625.0 1.653242e-16
3626.0 1.652046e-16
3627.0 1.645753e-16
3628.0 1.669294e-16
3629.0 1.682124e-16
3630.0 1.653176e-16
3631.0 1.633827e-16
3632.0 1.700635e-16
3633.0 1.755300e-16
3634.0 1.765709e-16
3635.0 1.758315e-16
3636.0 1.706560e-16
3637.0 1.647109e-16
3638.0 1.635909e-16
3639.0 1.614732e-16
3640.0 1.599509e-16
3641.0 1.591436e-16
3642.0 1.625839e-16
3643.0 1.613338e-16
3644.0 1.604916e-16
3645.0 1.604643e-16
3646.0 1.578483e-16
3647.0 1.547689e-16
3648.0 1.542008e-16
3649.0 1.515745e-16
3650.0 1.482275e-16
3651.0 1.471461e-16
3652.0 1.454551e-16
3653.0 1.452554e-16
3654.0 1.462841e-16
3655.0 1.472082e-16
3656.0 1.435965e-16
3657.0 1.411379e-16
3658.0 1.397248e-16
3659.0 1.416400e-16
3660.0 1.420554e-16
3661.0 1.423766e-16
3662.0 1.423437e-16
3663.0 1.407535e-16
3664.0 1.408383e-16
3665.0 1.439470e-16
3666.0 1.440101e-16
3667.0 1.437237e-16
3668.0 1.440270e-16
3669.0 1.465686e-16
3670.0 1.460222e-16
3671.0 1.440986e-16
3672.0 1.419358e-16
3673.0 1.416390e-16
3674.0 1.436945e-16
3675.0 1.451057e-16
3676.0 1.440412e-16
3677.0 1.478742e-16
3678.0 1.473326e-16
3679.0 1.413762e-16
3680.0 1.429494e-16
3681.0 1.456972e-16
3682.0 1.431161e-16
3683.0 1.432442e-16
3684.0 1.434957e-16
3685.0 1.429739e-16
3686.0 1.430897e-16
3687.0 1.389458e-16
3688.0 1.328359e-16
3689.0 1.319843e-16
3690.0 1.409410e-16
3691.0 1.465837e-16
3692.0 1.490245e-16
3693.0 1.371899e-16
3694.0 1.259149e-16
3695.0 1.352663e-16
3696.0 1.502387e-16
3697.0 1.531618e-16
3698.0 1.474343e-16
3699.0 1.270792e-16
3700.0 1.113588e-16
3701.0 1.198662e-16
3702.0 1.458244e-16
3703.0 1.678243e-16
3704.0 1.742489e-16
3705.0 1.667250e-16
3706.0 1.422966e-16
3707.0 1.170081e-16
3708.0 1.070849e-16
3709.0 1.160011e-16
3710.0 1.418142e-16
3711.0 1.619621e-16
3712.0 1.676105e-16
3713.0 1.569854e-16
3714.0 1.311751e-16
3715.0 1.133502e-16
3716.0 1.067957e-16
3717.0 1.066336e-16
3718.0 1.118910e-16
3719.0 1.422504e-16
3720.0 2.014082e-16
3721.0 2.425603e-16
3722.0 3.115245e-16
3723.0 7.989991e-16
3724.0 2.020558e-15
3725.0 2.981696e-15
3726.0 4.183194e-15
3727.0 5.545984e-15
3728.0 5.128961e-15
3729.0 4.247985e-15
3730.0 3.085961e-15
3731.0 1.305233e-15
3732.0 3.982825e-16
3733.0 2.327369e-16
3734.0 2.179029e-16
3735.0 2.032046e-16
3736.0 1.650020e-16
3737.0 1.264980e-16
3738.0 1.081484e-16
3739.0 1.031906e-16
3740.0 1.049917e-16
3741.0 1.085836e-16
3742.0 1.093391e-16
3743.0 1.070632e-16
3744.0 1.066496e-16
3745.0 1.077942e-16
3746.0 1.070886e-16
3747.0 1.212048e-16
3748.0 1.682313e-16
3749.0 2.096151e-16
3750.0 2.223502e-16
3751.0 2.074258e-16
3752.0 1.566039e-16
3753.0 1.154764e-16
3754.0 1.036135e-16
3755.0 1.029174e-16
3756.0 1.039140e-16
3757.0 1.044482e-16
3758.0 1.060373e-16
3759.0 1.065206e-16
3760.0 1.045876e-16
3761.0 1.048042e-16
3762.0 1.068484e-16
3763.0 1.068644e-16
3764.0 1.039112e-16
3765.0 1.025679e-16
3766.0 1.036126e-16
3767.0 1.103226e-16
