#
# Linsky & Wood 1996 Alpha Centauri A
# Hubble Space Telescope HRS UV spectra
# Extracted from the HST Archive (MAST), dataset z2mp010dt
#
# lam - wavelength in Angstroms, range: ~1212.3 to 1218.8A
# flam - flux in relative F-lambda (erg/s/cm^2/A)
#
lam               flam
1.21232263E+03    -1.46885077E-02
1.21232593E+03    -1.46439895E-02
1.21232922E+03    -1.54507742E-03
1.21233240E+03    -1.02693513E-02
1.21233569E+03     5.04556485E-03
1.21233899E+03    -1.50764117E-03
1.21234229E+03    -5.92578575E-03
1.21234558E+03    -5.84010361E-03
1.21234888E+03    -1.53492915E-03
1.21235217E+03    -3.73453298E-03
1.21235547E+03    -5.93230035E-03
1.21235876E+03    -7.49285740E-04
1.21236206E+03    -3.70817608E-03
1.21236536E+03     2.82607111E-03
1.21236865E+03    -8.11033882E-03
1.21237183E+03    -8.10672995E-03
1.21237512E+03     9.44389403E-03
1.21237842E+03    -1.24582825E-02
1.21238171E+03     6.39926235E-04
1.21238501E+03    -8.08066502E-03
1.21238831E+03    -8.08987394E-03
1.21239160E+03     2.85982131E-03
1.21239490E+03    -8.09233263E-03
1.21239819E+03     5.00138570E-03
1.21240149E+03     2.85041588E-03
1.21240466E+03     2.84329476E-03
1.21240796E+03    -3.69338435E-03
1.21241125E+03     6.83047809E-04
1.21241455E+03     6.68111548E-04
1.21241785E+03     6.35503267E-04
1.21242114E+03    -8.06978345E-03
1.21242444E+03    -1.68020651E-02
1.21242773E+03    -1.54240255E-03
1.21243103E+03    -8.08194187E-03
1.21243433E+03     2.83516571E-03
1.21243762E+03    -1.52998092E-03
1.21244080E+03    -8.07704963E-03
1.21244409E+03    -1.24313608E-02
1.21244739E+03    -3.70705035E-03
1.21245068E+03     6.99384662E-04
1.21245398E+03     2.82550370E-03
1.21245728E+03    -8.05761572E-03
1.21246057E+03    -5.88776078E-03
1.21246387E+03    -1.45986108E-02
1.21246716E+03    -3.69889173E-03
1.21247034E+03    -5.83181344E-03
1.21247363E+03    -1.52787205E-03
1.21247693E+03    -8.02787673E-03
1.21248022E+03    -5.84837561E-03
1.21248352E+03    -1.24059105E-02
1.21248682E+03    -5.88626834E-03
1.21249011E+03    -1.02295913E-02
1.21249341E+03     6.67197106E-04
1.21249670E+03    -5.82960481E-03
1.21250000E+03    -1.52573048E-03
1.21250317E+03    -8.03509634E-03
