#
# Linsky & Wood 1996 Alpha Centauri B
# Hubble Space Telescope HRS UV spectra
# Extracted from the HST Archive (MAST), dataset z2mp010dt
#
# lam - wavelength in Angstroms, range: ~1212.3 to 1218.8A
# flam - flux in relative F-lambda (erg/s/cm^2/A)
#
lam               flam
1.21232690E+03    -8.33057705E-03
1.21233008E+03    -2.11162347E-04
1.21233337E+03     9.16951057E-03
1.21233667E+03     2.30237888E-03
1.21233997E+03    -4.58336202E-03
1.21234326E+03    -5.21014817E-03
1.21234656E+03     1.04528887E-03
1.21234985E+03    -8.36042978E-04
1.21235315E+03    -3.33252293E-03
1.21235645E+03    -1.24853337E-03
1.21235974E+03     1.02808315E-03
1.21236304E+03    -4.37662145E-03
1.21236633E+03    -1.46301021E-03
1.21236951E+03    -2.70785671E-03
1.21237280E+03    -1.45716453E-03
1.21237610E+03    -3.33127216E-03
1.21237939E+03    -7.07290461E-03
1.21238269E+03    -2.70537823E-03
1.21238599E+03    -3.94838070E-03
1.21238928E+03    -8.40549532E-04
1.21239258E+03    -8.40430264E-04
1.21239587E+03     1.65542227E-03
1.21239917E+03    -5.19703981E-03
1.21240247E+03    -3.31786578E-03
1.21240564E+03    -2.70534400E-03
1.21240894E+03    -4.57099872E-03
1.21241223E+03    -2.70708906E-03
1.21241553E+03    -4.57083946E-03
1.21241882E+03    -2.70931283E-03
1.21242212E+03    -3.94816417E-03
1.21242542E+03    -3.32398200E-03
1.21242871E+03    -3.94570129E-03
1.21243201E+03    -2.08257511E-03
1.21243530E+03    -2.08476069E-03
1.21243848E+03    -2.70375470E-03
1.21244177E+03    -4.56750812E-03
1.21244507E+03    -2.17788824E-04
1.21244836E+03    -8.40028981E-04
1.21245166E+03    -5.18327486E-03
1.21245496E+03    -1.45728211E-03
1.21245825E+03    -5.18471235E-03
1.21246155E+03    -2.13265332E-04
1.21246484E+03    -3.93280713E-03
1.21246814E+03    -2.70675635E-03
1.21247131E+03    -2.07663979E-03
1.21247461E+03    -2.07629427E-03
1.21247791E+03     2.26276461E-03
1.21248120E+03    -6.41955389E-03
1.21248450E+03    -3.93450959E-03
1.21248779E+03    -8.31461046E-04
1.21249109E+03    -2.69965245E-03
1.21249438E+03    -1.45908445E-03
1.21249768E+03    -2.69301981E-03
1.21250098E+03    -2.68849358E-03
1.21250415E+03    -1.45667978E-03
1.21250745E+03     2.87908944E-03
1.21251074E+03    -8.31120124E-04
1.21251404E+03    -4.55405796E-03
1.21251733E+03    -3.92787578E-03
1.21252063E+03    -5.17597143E-03
1.21252393E+03     4.05988016E-04
1.21252722E+03    -2.68079597E-03
1.21253052E+03    -1.45019824E-03
1.21253369E+03    -2.07570661E-03
1.21253699E+03    -2.19360154E-04
1.21254028E+03    -2.06898572E-03
1.21254358E+03    -3.92456632E-03
1.21254688E+03    -4.54556616E-03
1.21255017E+03    -4.54873173E-03
1.21255347E+03    -2.69430084E-03
1.21255676E+03    -3.92917031E-03
1.21256006E+03    -2.19430905E-04
1.21256323E+03    -2.07776576E-03
1.21256653E+03     1.01339223E-03
1.21256982E+03    -2.18389032E-04
1.21257312E+03    -2.07212311E-03
1.21257642E+03    -2.26251388E-04
1.21257971E+03    -8.42721434E-04
1.21258301E+03     1.62089011E-03
1.21258630E+03    -3.93210491E-03
1.21258948E+03    -5.16005373E-03
1.21259277E+03    -2.07255478E-03
1.21259607E+03    -1.44955248E-03
1.21259937E+03    -2.68971361E-03
1.21260266E+03    -1.45065133E-03
1.21260596E+03    -2.68705492E-03
1.21260925E+03    -1.45770307E-03
1.21261255E+03    -6.38859114E-03
1.21261572E+03    -2.68602930E-03
1.21261902E+03    -3.91766243E-03
1.21262231E+03    -1.45469047E-03
1.21262561E+03     1.63102115E-03
1.21262891E+03    -3.91602097E-03
1.21263220E+03    -3.30162863E-03
1.21263550E+03    -5.76873729E-03
1.21263879E+03    -2.06987653E-03
1.21264197E+03     2.24053138E-03
1.21264526E+03    -6.38187537E-03
1.21264856E+03    -6.37676474E-03
1.21265186E+03    -1.45094364E-03
1.21265515E+03    -5.14207128E-03
1.21265845E+03     4.01504512E-04
1.21266174E+03    -2.06123013E-03
1.21266504E+03     4.05628351E-04
1.21266821E+03    -2.68346397E-03
1.21267151E+03    -5.75628132E-03
1.21267480E+03    -3.29123368E-03
1.21267810E+03     4.04807623E-04
1.21268140E+03    -3.90667608E-03
1.21268469E+03    -2.14615909E-04
1.21268799E+03     2.86040618E-03
1.21269116E+03    -2.06513680E-03
1.21269446E+03    -3.90699273E-03
1.21269775E+03    -6.97605219E-03
