#te, heating, cooling.
# Cloudy punts, Te= 7.570e+03 HTOT= 5.194e-20 CTOT= 5.194e-20 nzone=   1
# COOLNG array is
#      O  3 0.00  0.260 S  4 0.00  0.231 S  3 0.00  0.148 dust 0.00  0.095 ISrcolH H  0.00  0.090 Ne 3 0.00  0.055 FF c 0.00  0.038 
#      N  3 0.00  0.030 O  4 0.00  0.024 Ar 3 0.00  0.009 ISrcolHeHe 1.00  0.008 ISrcolH He 1.00  0.006 
# Line heating array follows
## map of heating, cooling, vs temp, follows.
 Te              Heating      Cooling
 1.0000e+01      2.2103e-18   1.0867e-21
 1.2302e+01      1.9598e-18   1.0715e-21
 1.5134e+01      1.7411e-18   1.0750e-21
 1.8617e+01      1.5483e-18   1.0988e-21
 2.2903e+01      1.3775e-18   1.1443e-21
 2.8175e+01      1.2257e-18   1.2109e-21
 3.4661e+01      1.0905e-18   1.2955e-21
 4.2640e+01      9.7018e-19   1.4493e-21
 5.2455e+01      8.6307e-19   1.8602e-21
 6.4530e+01      7.6771e-19   2.5508e-21
 7.9385e+01      6.8284e-19   3.5998e-21
 9.7659e+01      6.0728e-19   5.0173e-21
 1.2014e+02      5.3931e-19   6.9938e-21
 1.4779e+02      4.7891e-19   9.3876e-21
 1.8182e+02      4.2527e-19   1.2070e-20
 2.2367e+02      3.7764e-19   1.4924e-20
 2.7516e+02      3.3534e-19   1.7863e-20
 3.3850e+02      2.9777e-19   2.0838e-20
 4.1642e+02      2.6442e-19   2.3807e-20
 5.1227e+02      2.3481e-19   2.6726e-20
 6.3019e+02      2.0855e-19   2.9645e-20
 7.7526e+02      1.8530e-19   3.2407e-20
 9.5372e+02      1.6467e-19   3.4910e-20
 1.1733e+03      1.4638e-19   3.7085e-20
 1.4433e+03      1.3016e-19   3.8907e-20
 1.7756e+03      1.1577e-19   4.0363e-20
 2.1843e+03      1.0301e-19   4.1391e-20
 2.6871e+03      9.1693e-20   4.2008e-20
 3.3057e+03      8.1664e-20   4.2498e-20
 4.0667e+03      7.2785e-20   4.3133e-20
 5.0028e+03      6.4929e-20   4.4371e-20
 6.1544e+03      5.7989e-20   4.6965e-20
 7.5711e+03      5.1867e-20   5.1874e-20
 9.3139e+03      4.6465e-20   6.0381e-20
 1.1458e+04      4.1707e-20   7.4339e-20
 1.4095e+04      3.7523e-20   9.6992e-20
 1.7340e+04      3.3854e-20   1.3453e-19
 2.1332e+04      3.0658e-20   1.9752e-19
 2.6242e+04      2.7894e-20   3.0577e-19
 3.2283e+04      2.5520e-20   4.9059e-19
 3.9714e+04      2.3485e-20   7.9648e-19
 4.8857e+04      2.1728e-20   1.2816e-18
 6.0103e+04      2.0139e-20   2.0456e-18
 7.3938e+04      1.8544e-20   3.1981e-18
 9.0959e+04      1.6911e-20   4.2950e-18
 1.1190e+05      1.5371e-20   4.3891e-18
 1.3765e+05      1.4535e-20   4.0256e-18
 1.6934e+05      1.4207e-20   4.1136e-18
 2.0832e+05      1.4185e-20   3.9340e-18
 2.5628e+05      1.4407e-20   3.7747e-18
 3.1527e+05      1.4846e-20   2.7212e-18
 3.8785e+05      1.5493e-20   1.8996e-18
 4.7713e+05      1.6343e-20   1.7645e-18
 5.8696e+05      1.7400e-20   1.6353e-18
 7.2207e+05      1.8672e-20   1.4049e-18
 8.8829e+05      2.0173e-20   1.5036e-18
 1.0928e+06      2.1920e-20   1.8257e-18
 1.3443e+06      2.3936e-20   2.3213e-18
 1.6538e+06      2.6248e-20   3.0283e-18
 2.0345e+06      2.8890e-20   3.9853e-18
 2.5028e+06      3.1903e-20   5.2624e-18
 3.0789e+06      3.5339e-20   6.9582e-18
 3.7877e+06      3.9413e-20   9.3012e-18
 4.6596e+06      4.7818e-20   1.2543e-17
 5.7322e+06      6.3954e-20   1.6983e-17
 7.0517e+06      9.0346e-20   2.3040e-17
 8.6749e+06      1.3402e-19   3.1294e-17
 1.0672e+07      1.9371e-19   4.2542e-17
 1.3128e+07      2.5496e-19   5.7889e-17
 1.6151e+07      3.3543e-19   7.8811e-17
 1.9868e+07      4.5189e-19   1.0734e-16
 2.4442e+07      5.8425e-19   1.4625e-16
 3.0068e+07      7.0124e-19   1.9929e-16
 3.6990e+07      8.4129e-19   2.7168e-16
 4.5505e+07      1.0130e-18   3.7052e-16
 5.5980e+07      1.0782e-18   5.0553e-16
 6.8866e+07      1.1570e-18   6.8972e-16
 8.4718e+07      1.2331e-18   9.4103e-16
 1.0422e+08      1.3280e-18   1.2839e-15
 1.2821e+08      1.4475e-18   1.7517e-15
 1.5772e+08      1.5884e-18   2.3902e-15
 1.9403e+08      1.6604e-18   3.2615e-15
 2.3870e+08      1.6829e-18   4.4504e-15
 2.9364e+08      1.7086e-18   6.0726e-15
 3.6124e+08      1.7170e-18   8.2860e-15
 4.4439e+08      1.7644e-18   1.1306e-14
 5.4669e+08      1.8287e-18   1.5427e-14
 6.7253e+08      1.8533e-18   2.1049e-14
 8.2735e+08      1.9957e-18   2.8720e-14
 1.0178e+09      2.1681e-18   3.9188e-14
 1.2521e+09      2.2794e-18   5.3470e-14
 1.5403e+09      2.4572e-18   7.2954e-14
 1.8949e+09      2.9109e-18   9.9536e-14
 2.3311e+09      3.4829e-18   1.3580e-13
 2.8677e+09      3.6393e-18   1.8526e-13
 3.5278e+09      4.3652e-18   2.5274e-13
 4.3399e+09      3.9821e-18   3.4479e-13
 5.3389e+09      4.0854e-18   4.7038e-13
 6.5679e+09      3.8302e-18   6.4174e-13
 8.0798e+09      4.4157e-18   8.7554e-13
