lambda       flux        ferr     
3500.00      12.6244     0.259724 
3501.00      13.0848     0.259756 
3502.00      12.6165     0.260199 
3503.00      12.1275     0.261053 
3504.00      12.1704     0.261239 
3505.00      12.0253     0.260852 
3506.00      11.8445     0.262287 
3507.00      12.0091     0.261808 
3508.00      11.9213     0.263541 
3509.00      12.6243     0.262680 
3510.00      12.3766     0.264151 
3511.00      12.3359     0.264385 
3512.00      11.9624     0.264987 
3513.00      11.9562     0.265333 
3514.00      12.5018     0.264755 
3515.00      12.4133     0.264945 
3516.00      12.3559     0.264057 
3517.00      12.4017     0.263948 
3518.00      12.5535     0.262735 
3519.00      12.3344     0.262340 
3520.00      12.4312     0.261947 
3521.00      13.1118     0.261018 
3522.00      12.6047     0.260493 
3523.00      12.2043     0.259762 
3524.00      12.6522     0.258871 
3525.00      12.5915     0.257827 
3526.00      12.3563     0.256039 
3527.00      11.8279     0.255533 
3528.00      11.8161     0.253386 
3529.00      11.1860     0.252791 
3530.00      11.3932     0.251043 
3531.00      11.5245     0.250159 
3532.00      11.3534     0.249067 
3533.00      11.5818     0.248157 
3534.00      11.5070     0.247168 
3535.00      11.2304     0.246592 
3536.00      11.8490     0.245519 
3537.00      11.9737     0.244981 
3538.00      11.7082     0.244234 
3539.00      11.1955     0.243515 
3540.00      10.9395     0.242910 
3541.00      11.0036     0.242403 
3542.00      11.1994     0.241567 
3543.00      11.2453     0.241392 
3544.00      11.3514     0.240449 
3545.00      11.4869     0.240496 
3546.00      11.6910     0.239783 
3547.00      11.7730     0.239545 
3548.00      11.4731     0.239454 
3549.00      11.6134     0.239239 
3550.00      12.3413     0.238794 
3551.00      12.4452     0.238244 
3552.00      11.7356     0.238452 
3553.00      11.7599     0.237557 
3554.00      11.7847     0.237508 
3555.00      11.8563     0.237432 
3556.00      12.3093     0.236469 
3557.00      12.0720     0.236325 
3558.00      11.8548     0.235478 
3559.00      11.9164     0.234694 
3560.00      12.2299     0.233576 
3561.00      11.6686     0.233222 
3562.00      11.5030     0.232277 
3563.00      11.5450     0.231396 
3564.00      11.7151     0.231050 
3565.00      12.1450     0.230254 
3566.00      12.3139     0.229996 
3567.00      12.0316     0.229626 
3568.00      11.8970     0.229256 
3569.00      12.1215     0.228643 
3570.00      11.8745     0.228133 
3571.00      11.7282     0.227630 
3572.00      12.0248     0.226636 
3573.00      11.9061     0.225908 
3574.00      11.7543     0.224720 
3575.00      11.5535     0.224207 
3576.00      11.8224     0.222791 
3577.00      11.9830     0.222399 
3578.00      11.8662     0.222033 
3579.00      11.8138     0.221117 
3580.00      11.5063     0.220628 
3581.00      11.5438     0.220684 
3582.00      12.2127     0.220056 
3583.00      11.8924     0.220563 
3584.00      11.4790     0.220251 
3585.00      11.4076     0.220087 
3586.00      11.2200     0.219681 
3587.00      11.3114     0.219834 
3588.00      11.7918     0.218617 
3589.00      10.8382     0.219624 
3590.00      10.9718     0.217847 
3591.00      10.8321     0.218657 
3592.00      11.2295     0.217776 
3593.00      11.7305     0.217584 
