#
# CIE spectrum logT=6.0K ne=0.004/cc EM=1.000000e+25
# Calculated using CHIANTI v9 and ChiantiPy
#
lam     total  fe9    fe10   fe11   fe12   s9     si9    he2
150.00  0.074  0.001  0.002  0.000  0.000  0.000  0.000  0.000
150.50  0.062  0.001  0.006  0.000  0.000  0.000  0.000  0.000
151.00  0.040  0.002  0.017  0.000  0.000  0.000  0.000  0.000
151.50  0.034  0.002  0.023  0.000  0.000  0.000  0.000  0.000
152.00  0.021  0.001  0.012  0.000  0.000  0.000  0.000  0.000
152.50  0.011  0.001  0.003  0.000  0.000  0.000  0.000  0.000
153.00  0.010  0.001  0.001  0.001  0.000  0.000  0.000  0.000
153.50  0.010  0.001  0.001  0.001  0.000  0.000  0.000  0.000
154.00  0.011  0.001  0.002  0.000  0.000  0.000  0.000  0.000
154.50  0.012  0.002  0.002  0.000  0.000  0.000  0.000  0.000
155.00  0.012  0.002  0.003  0.000  0.000  0.000  0.000  0.000
155.50  0.017  0.004  0.005  0.000  0.000  0.000  0.000  0.000
156.00  0.037  0.005  0.023  0.001  0.000  0.000  0.000  0.000
156.50  0.069  0.004  0.055  0.001  0.000  0.000  0.000  0.000
157.00  0.066  0.007  0.050  0.001  0.000  0.000  0.000  0.000
157.50  0.041  0.010  0.023  0.000  0.000  0.000  0.000  0.000
158.00  0.043  0.008  0.028  0.000  0.000  0.000  0.000  0.000
158.50  0.083  0.005  0.069  0.001  0.000  0.000  0.000  0.000
159.00  0.102  0.006  0.087  0.001  0.000  0.000  0.000  0.000
159.50  0.061  0.006  0.043  0.001  0.000  0.000  0.000  0.000
160.00  0.028  0.004  0.010  0.001  0.000  0.000  0.000  0.000
160.50  0.020  0.002  0.004  0.001  0.000  0.000  0.000  0.000
161.00  0.019  0.002  0.004  0.001  0.000  0.000  0.000  0.000
161.50  0.023  0.002  0.008  0.001  0.000  0.000  0.000  0.000
162.00  0.037  0.005  0.021  0.001  0.000  0.000  0.000  0.000
162.50  0.042  0.009  0.022  0.001  0.000  0.000  0.000  0.000
163.00  0.032  0.009  0.012  0.001  0.000  0.000  0.000  0.000
163.50  0.034  0.015  0.009  0.001  0.000  0.000  0.000  0.000
164.00  0.058  0.029  0.019  0.001  0.000  0.000  0.000  0.000
164.50  0.081  0.039  0.031  0.001  0.000  0.000  0.000  0.000
165.00  0.071  0.036  0.023  0.001  0.000  0.000  0.000  0.000
165.50  0.041  0.020  0.009  0.001  0.000  0.000  0.000  0.000
166.00  0.038  0.013  0.004  0.000  0.000  0.000  0.000  0.000
166.50  0.136  0.016  0.003  0.001  0.000  0.000  0.000  0.000
167.00  0.483  0.015  0.003  0.001  0.000  0.000  0.000  0.000
167.50  0.813  0.019  0.004  0.001  0.000  0.000  0.000  0.000
168.00  0.693  0.035  0.006  0.003  0.000  0.000  0.000  0.000
168.50  0.567  0.044  0.005  0.009  0.000  0.000  0.000  0.000
169.00  0.503  0.035  0.006  0.013  0.000  0.000  0.000  0.000
169.50  0.338  0.105  0.011  0.007  0.000  0.000  0.000  0.000
170.00  1.190  1.126  0.014  0.002  0.000  0.000  0.000  0.000
170.50  5.705  5.676  0.014  0.001  0.000  0.000  0.000  0.000
171.00 10.811 10.785  0.012  0.002  0.000  0.000  0.000  0.000
171.50  7.611  7.582  0.014  0.003  0.001  0.000  0.000  0.000
172.00  2.035  1.980  0.024  0.004  0.001  0.000  0.000  0.000
172.50  0.328  0.209  0.041  0.005  0.001  0.000  0.000  0.000
173.00  0.225  0.027  0.077  0.003  0.001  0.000  0.000  0.000
173.50  0.676  0.028  0.566  0.002  0.001  0.000  0.000  0.000
174.00  2.695  0.039  2.627  0.003  0.000  0.000  0.000  0.000
174.50  4.697  0.040  4.642  0.003  0.000  0.000  0.000  0.000
175.00  3.208  0.039  3.156  0.003  0.000  0.000  0.000  0.000
175.50  1.001  0.033  0.956  0.002  0.000  0.000  0.000  0.000
176.00  0.341  0.026  0.302  0.003  0.001  0.000  0.000  0.000
176.50  0.938  0.024  0.900  0.004  0.001  0.000  0.000  0.000
177.00  2.364  0.022  2.321  0.011  0.001  0.000  0.000  0.000
177.50  2.342  0.017  2.274  0.041  0.000  0.000  0.000  0.000
178.00  0.923  0.011  0.830  0.073  0.000  0.000  0.000  0.000
178.50  0.191  0.010  0.120  0.053  0.000  0.003  0.000  0.000
179.00  0.102  0.011  0.015  0.067  0.000  0.008  0.000  0.000
179.50  0.531  0.011  0.050  0.461  0.000  0.009  0.000  0.000
180.00  1.854  0.030  0.187  1.628  0.001  0.003  0.000  0.000
180.50  2.567  0.081  0.283  2.191  0.001  0.001  0.000  0.000
181.00  1.420  0.093  0.189  1.123  0.001  0.000  0.000  0.000
181.50  0.480  0.043  0.096  0.323  0.001  0.000  0.000  0.000
182.00  0.378  0.013  0.082  0.266  0.000  0.000  0.000  0.000
182.50  0.316  0.011  0.075  0.214  0.000  0.000  0.000  0.000
183.00  0.157  0.015  0.050  0.072  0.000  0.000  0.000  0.000
183.50  0.205  0.019  0.128  0.015  0.000  0.000  0.000  0.000
184.00  0.644  0.015  0.546  0.015  0.000  0.000  0.000  0.000
184.50  1.061  0.008  0.968  0.029  0.000  0.000  0.000  0.000
185.00  0.727  0.007  0.647  0.030  0.001  0.000  0.000  0.000
185.50  0.285  0.010  0.173  0.017  0.002  0.000  0.000  0.000
186.00  0.374  0.013  0.032  0.010  0.005  0.000  0.000  0.000
186.50  0.672  0.016  0.017  0.013  0.011  0.000  0.000  0.000
187.00  0.603  0.012  0.012  0.088  0.015  0.000  0.000  0.000
187.50  0.748  0.006  0.010  0.567  0.010  0.000  0.000  0.000
188.00  1.555  0.008  0.009  1.502  0.005  0.000  0.000  0.000
188.50  1.541  0.014  0.012  1.500  0.004  0.000  0.000  0.000
189.00  0.651  0.015  0.047  0.576  0.004  0.000  0.000  0.000
189.50  0.324  0.014  0.184  0.112  0.004  0.000  0.000  0.000
190.00  0.394  0.011  0.317  0.052  0.005  0.000  0.000  0.000
190.50  0.283  0.008  0.209  0.052  0.005  0.000  0.000  0.000
191.00  0.121  0.010  0.055  0.038  0.007  0.000  0.000  0.000
191.50  0.114  0.016  0.012  0.043  0.027  0.000  0.000  0.000
192.00  0.240  0.016  0.009  0.105  0.089  0.000  0.000  0.000
192.50  0.409  0.011  0.014  0.222  0.144  0.000  0.000  0.000
193.00  0.506  0.007  0.047  0.239  0.198  0.000  0.000  0.000
193.50  0.499  0.006  0.108  0.118  0.252  0.000  0.000  0.000
194.00  0.349  0.008  0.100  0.033  0.179  0.000  0.000  0.000
194.50  0.316  0.014  0.040  0.011  0.200  0.000  0.000  0.000
195.00  0.459  0.020  0.023  0.012  0.350  0.000  0.000  0.000
195.50  0.404  0.023  0.023  0.015  0.267  0.000  0.000  0.000
196.00  0.229  0.025  0.013  0.012  0.077  0.000  0.000  0.000
196.50  0.119  0.028  0.005  0.008  0.011  0.000  0.000  0.000
197.00  0.124  0.076  0.005  0.008  0.004  0.000  0.000  0.000
197.50  0.250  0.208  0.006  0.010  0.002  0.000  0.000  0.000
198.00  0.288  0.251  0.006  0.017  0.001  0.000  0.000  0.000
198.50  0.153  0.117  0.004  0.024  0.001  0.000  0.000  0.000
199.00  0.052  0.024  0.002  0.018  0.001  0.000  0.000  0.000
199.50  0.025  0.006  0.002  0.010  0.001  0.000  0.000  0.000
200.00  0.028  0.006  0.003  0.010  0.001  0.000  0.000  0.000
200.50  0.060  0.008  0.008  0.033  0.002  0.000  0.000  0.000
201.00  0.126  0.008  0.030  0.071  0.002  0.000  0.000  0.000
201.50  0.190  0.005  0.053  0.096  0.003  0.000  0.000  0.000
202.00  0.242  0.002  0.037  0.141  0.004  0.000  0.000  0.000
202.50  0.256  0.002  0.010  0.189  0.003  0.001  0.000  0.000
203.00  0.163  0.003  0.002  0.130  0.004  0.000  0.000  0.000
203.50  0.065  0.004  0.002  0.040  0.009  0.000  0.000  0.000
204.00  0.042  0.004  0.002  0.013  0.009  0.000  0.000  0.000
204.50  0.046  0.004  0.002  0.012  0.004  0.000  0.000  0.000
205.00  0.044  0.004  0.002  0.014  0.002  0.000  0.000  0.000
205.50  0.054  0.002  0.003  0.033  0.002  0.000  0.000  0.000
206.00  0.093  0.002  0.005  0.068  0.005  0.000  0.000  0.000
206.50  0.112  0.002  0.021  0.064  0.006  0.000  0.000  0.000
207.00  0.145  0.004  0.078  0.035  0.004  0.000  0.000  0.000
207.50  0.180  0.006  0.115  0.034  0.003  0.000  0.000  0.000
208.00  0.123  0.005  0.064  0.034  0.005  0.000  0.000  0.000
208.50  0.063  0.002  0.015  0.019  0.008  0.000  0.000  0.000
209.00  0.061  0.001  0.005  0.019  0.007  0.000  0.000  0.000
209.50  0.071  0.002  0.004  0.034  0.004  0.000  0.000  0.000
210.00  0.059  0.002  0.003  0.033  0.002  0.000  0.000  0.000
210.50  0.034  0.003  0.004  0.015  0.001  0.000  0.000  0.000
211.00  0.025  0.004  0.006  0.005  0.003  0.000  0.000  0.000
211.50  0.029  0.004  0.008  0.003  0.006  0.000  0.000  0.000
212.00  0.029  0.006  0.008  0.003  0.007  0.000  0.000  0.000
212.50  0.022  0.004  0.004  0.004  0.004  0.000  0.000  0.000
213.00  0.019  0.003  0.002  0.006  0.002  0.000  0.000  0.000
213.50  0.025  0.003  0.002  0.012  0.002  0.000  0.000  0.000
214.00  0.041  0.006  0.002  0.019  0.004  0.000  0.000  0.000
214.50  0.056  0.012  0.004  0.020  0.006  0.000  0.000  0.000
215.00  0.052  0.013  0.010  0.012  0.003  0.000  0.000  0.000
215.50  0.043  0.017  0.012  0.004  0.001  0.000  0.000  0.000
216.00  0.060  0.040  0.006  0.002  0.000  0.000  0.000  0.000
216.50  0.150  0.117  0.002  0.002  0.001  0.000  0.000  0.000
217.00  0.275  0.215  0.001  0.006  0.001  0.000  0.000  0.000
217.50  0.253  0.169  0.001  0.011  0.001  0.000  0.000  0.000
218.00  0.153  0.077  0.001  0.009  0.001  0.000  0.000  0.000
218.50  0.156  0.107  0.002  0.005  0.002  0.000  0.000  0.000
219.00  0.189  0.148  0.008  0.004  0.003  0.000  0.000  0.000
219.50  0.168  0.087  0.053  0.003  0.003  0.000  0.000  0.000
220.00  0.194  0.026  0.142  0.003  0.004  0.003  0.000  0.000
220.50  0.180  0.009  0.143  0.007  0.007  0.019  0.000  0.000
221.00  0.098  0.004  0.060  0.012  0.009  0.052  0.000  0.000
221.50  0.069  0.004  0.029  0.013  0.005  0.051  0.000  0.000
222.00  0.079  0.005  0.021  0.016  0.002  0.018  0.000  0.000
222.50  0.078  0.006  0.009  0.024  0.004  0.003  0.004  0.000
223.00  0.097  0.005  0.004  0.038  0.007  0.002  0.028  0.000
223.50  0.144  0.005  0.004  0.041  0.004  0.016  0.077  0.000
224.00  0.162  0.005  0.004  0.022  0.002  0.106  0.104  0.000
224.50  0.224  0.004  0.008  0.006  0.001  0.280  0.170  0.000
225.00  0.346  0.004  0.050  0.003  0.001  0.286  0.252  0.000
225.50  0.367  0.005  0.163  0.006  0.001  0.121  0.163  0.000
226.00  0.352  0.007  0.228  0.006  0.003  0.042  0.094  0.000
226.50  0.497  0.007  0.208  0.003  0.008  0.043  0.259  0.000
227.00  0.648  0.005  0.186  0.001  0.010  0.029  0.426  0.000
227.50  0.389  0.004  0.094  0.001  0.005  0.010  0.261  0.000
228.00  0.105  0.008  0.020  0.001  0.002  0.024  0.060  0.000
228.50  0.029  0.009  0.003  0.002  0.000  0.074  0.005  0.000
229.00  0.018  0.006  0.003  0.002  0.000  0.088  0.000  0.000
229.50  0.033  0.021  0.004  0.002  0.000  0.038  0.000  0.000
230.00  0.114  0.089  0.011  0.002  0.001  0.006  0.000  0.000
230.50  0.232  0.151  0.046  0.004  0.001  0.000  0.000  0.000
231.00  0.246  0.097  0.086  0.007  0.002  0.000  0.000  0.000
231.50  0.179  0.027  0.074  0.007  0.003  0.000  0.000  0.000
232.00  0.134  0.012  0.046  0.005  0.004  0.000  0.000  0.000
232.50  0.112  0.025  0.030  0.005  0.004  0.000  0.000  0.000
233.00  0.132  0.033  0.044  0.011  0.002  0.000  0.000  0.000
233.50  0.171  0.017  0.092  0.028  0.001  0.000  0.000  0.000
234.00  0.234  0.004  0.158  0.041  0.001  0.000  0.000  0.000
234.50  0.291  0.001  0.199  0.047  0.001  0.000  0.000  0.000
235.00  0.227  0.002  0.148  0.037  0.001  0.000  0.000  0.000
235.50  0.109  0.002  0.061  0.019  0.001  0.000  0.000  0.000
236.00  0.085  0.001  0.033  0.030  0.000  0.000  0.000  0.000
236.50  0.115  0.002  0.043  0.050  0.000  0.000  0.000  0.002
237.00  0.103  0.003  0.028  0.042  0.000  0.000  0.000  0.006
237.50  0.069  0.004  0.008  0.022  0.001  0.000  0.000  0.007
238.00  0.053  0.005  0.004  0.009  0.001  0.000  0.000  0.003
238.50  0.053  0.003  0.010  0.005  0.001  0.000  0.000  0.001
239.00  0.078  0.004  0.030  0.009  0.001  0.000  0.000  0.000
239.50  0.127  0.008  0.056  0.027  0.001  0.000  0.000  0.000
240.00  0.157  0.015  0.048  0.066  0.004  0.000  0.000  0.000
240.50  0.274  0.103  0.021  0.124  0.010  0.000  0.000  0.000
241.00  0.846  0.693  0.009  0.113  0.010  0.000  0.000  0.000
241.50  1.941  1.835  0.013  0.059  0.004  0.000  0.000  0.000
242.00  1.924  1.796  0.038  0.059  0.001  0.000  0.000  0.002
242.50  0.802  0.651  0.063  0.057  0.001  0.000  0.000  0.010
243.00  0.225  0.091  0.053  0.039  0.001  0.000  0.000  0.017
243.50  0.139  0.017  0.044  0.036  0.001  0.000  0.000  0.011
244.00  0.169  0.072  0.041  0.021  0.001  0.000  0.000  0.003
244.50  0.295  0.252  0.019  0.006  0.001  0.000  0.000  0.000
245.00  0.360  0.344  0.005  0.002  0.001  0.000  0.000  0.000
245.50  0.192  0.175  0.002  0.001  0.003  0.000  0.000  0.000
246.00  0.060  0.036  0.002  0.002  0.003  0.000  0.000  0.000
246.50  0.031  0.007  0.001  0.007  0.002  0.000  0.000  0.000
247.00  0.033  0.004  0.002  0.017  0.001  0.000  0.000  0.000
247.50  0.039  0.003  0.007  0.018  0.002  0.000  0.000  0.000
248.00  0.058  0.003  0.032  0.008  0.005  0.000  0.000  0.000
248.50  0.095  0.003  0.071  0.003  0.009  0.000  0.000  0.000
249.00  0.090  0.005  0.059  0.003  0.012  0.000  0.000  0.000
249.50  0.055  0.007  0.019  0.009  0.012  0.000  0.000  0.000
250.00  0.033  0.007  0.004  0.011  0.006  0.000  0.000  0.000
250.50  0.022  0.007  0.002  0.006  0.001  0.000  0.000  0.000
251.00  0.021  0.010  0.002  0.002  0.002  0.000  0.000  0.000
251.50  0.027  0.010  0.002  0.001  0.006  0.000  0.000  0.000
252.00  0.027  0.006  0.002  0.001  0.008  0.000  0.000  0.000
252.50  0.020  0.005  0.001  0.001  0.004  0.000  0.000  0.000
253.00  0.025  0.005  0.001  0.001  0.001  0.000  0.000  0.000
253.50  0.060  0.003  0.001  0.007  0.001  0.000  0.000  0.000
254.00  0.102  0.002  0.001  0.036  0.001  0.000  0.000  0.000
254.50  0.122  0.002  0.004  0.072  0.000  0.000  0.000  0.000
255.00  0.119  0.002  0.016  0.053  0.000  0.000  0.000  0.002
255.50  0.151  0.001  0.040  0.019  0.003  0.000  0.000  0.014
256.00  0.353  0.001  0.120  0.043  0.012  0.000  0.000  0.042
256.50  0.811  0.001  0.429  0.162  0.018  0.000  0.000  0.048
257.00  1.391  0.002  0.987  0.294  0.011  0.000  0.002  0.020
257.50  1.336  0.001  0.975  0.300  0.003  0.000  0.009  0.003
258.00  0.669  0.001  0.365  0.180  0.001  0.001  0.017  0.000
258.50  0.252  0.001  0.051  0.053  0.002  0.001  0.012  0.000
259.00  0.089  0.001  0.004  0.008  0.006  0.001  0.004  0.000
259.50  0.038  0.002  0.003  0.003  0.011  0.000  0.001  0.000
260.00  0.041  0.003  0.003  0.003  0.010  0.000  0.001  0.000
260.50  0.083  0.003  0.002  0.001  0.004  0.000  0.001  0.000
261.00  0.132  0.003  0.001  0.000  0.001  0.000  0.001  0.000
261.50  0.093  0.004  0.001  0.000  0.000  0.000  0.002  0.000
262.00  0.031  0.004  0.001  0.001  0.000  0.000  0.001  0.000
262.50  0.009  0.002  0.001  0.001  0.000  0.000  0.000  0.000
263.00  0.007  0.002  0.000  0.001  0.000  0.000  0.000  0.000
263.50  0.010  0.003  0.000  0.003  0.000  0.000  0.000  0.000
264.00  0.022  0.003  0.001  0.015  0.000  0.000  0.000  0.000
264.50  0.047  0.002  0.001  0.040  0.000  0.000  0.000  0.000
265.00  0.052  0.001  0.004  0.042  0.000  0.000  0.000  0.000
265.50  0.041  0.000  0.015  0.020  0.000  0.000  0.000  0.000
266.00  0.053  0.000  0.025  0.021  0.000  0.000  0.000  0.000
266.50  0.064  0.001  0.017  0.040  0.000  0.000  0.000  0.000
267.00  0.049  0.003  0.006  0.035  0.000  0.000  0.000  0.000
267.50  0.027  0.005  0.003  0.014  0.000  0.000  0.000  0.000
268.00  0.017  0.006  0.002  0.006  0.000  0.000  0.000  0.000
268.50  0.011  0.004  0.001  0.003  0.000  0.000  0.000  0.000
269.00  0.008  0.002  0.000  0.002  0.000  0.000  0.000  0.000
269.50  0.006  0.001  0.000  0.001  0.000  0.000  0.000  0.000
270.00  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000
