#
# Ionization fraction vs T for C
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI v9 atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..VII = ionization stage of carbon
#
logT  I      II     III    IV     V      VI     VII    
3.95 0.9930 0.0070 0.0000 0.0000 0.0000 0.0000 0.0000 
3.96 0.9901 0.0099 0.0000 0.0000 0.0000 0.0000 0.0000 
3.97 0.9861 0.0139 0.0000 0.0000 0.0000 0.0000 0.0000 
3.98 0.9806 0.0194 0.0000 0.0000 0.0000 0.0000 0.0000 
3.99 0.9733 0.0267 0.0000 0.0000 0.0000 0.0000 0.0000 
4.00 0.9635 0.0365 0.0000 0.0000 0.0000 0.0000 0.0000 
4.01 0.9506 0.0494 0.0000 0.0000 0.0000 0.0000 0.0000 
4.02 0.9339 0.0661 0.0000 0.0000 0.0000 0.0000 0.0000 
4.03 0.9127 0.0873 0.0000 0.0000 0.0000 0.0000 0.0000 
4.04 0.8861 0.1139 0.0000 0.0000 0.0000 0.0000 0.0000 
4.05 0.8537 0.1463 0.0000 0.0000 0.0000 0.0000 0.0000 
4.06 0.8149 0.1851 0.0000 0.0000 0.0000 0.0000 0.0000 
4.07 0.7699 0.2301 0.0000 0.0000 0.0000 0.0000 0.0000 
4.08 0.7191 0.2809 0.0000 0.0000 0.0000 0.0000 0.0000 
4.09 0.6635 0.3365 0.0000 0.0000 0.0000 0.0000 0.0000 
4.10 0.6046 0.3954 0.0000 0.0000 0.0000 0.0000 0.0000 
4.11 0.5443 0.4557 0.0000 0.0000 0.0000 0.0000 0.0000 
4.12 0.4843 0.5157 0.0000 0.0000 0.0000 0.0000 0.0000 
4.13 0.4266 0.5734 0.0000 0.0000 0.0000 0.0000 0.0000 
4.14 0.3725 0.6275 0.0000 0.0000 0.0000 0.0000 0.0000 
4.15 0.3230 0.6770 0.0000 0.0000 0.0000 0.0000 0.0000 
4.16 0.2786 0.7214 0.0000 0.0000 0.0000 0.0000 0.0000 
4.17 0.2396 0.7604 0.0000 0.0000 0.0000 0.0000 0.0000 
4.18 0.2057 0.7943 0.0000 0.0000 0.0000 0.0000 0.0000 
4.19 0.1766 0.8234 0.0000 0.0000 0.0000 0.0000 0.0000 
4.20 0.1518 0.8482 0.0000 0.0000 0.0000 0.0000 0.0000 
4.21 0.1308 0.8692 0.0000 0.0000 0.0000 0.0000 0.0000 
4.22 0.1131 0.8869 0.0000 0.0000 0.0000 0.0000 0.0000 
4.23 0.0981 0.9019 0.0001 0.0000 0.0000 0.0000 0.0000 
4.24 0.0855 0.9145 0.0001 0.0000 0.0000 0.0000 0.0000 
4.25 0.0748 0.9251 0.0001 0.0000 0.0000 0.0000 0.0000 
4.26 0.0658 0.9340 0.0002 0.0000 0.0000 0.0000 0.0000 
4.27 0.0581 0.9416 0.0003 0.0000 0.0000 0.0000 0.0000 
4.28 0.0516 0.9480 0.0004 0.0000 0.0000 0.0000 0.0000 
4.29 0.0460 0.9534 0.0006 0.0000 0.0000 0.0000 0.0000 
4.30 0.0413 0.9580 0.0008 0.0000 0.0000 0.0000 0.0000 
4.31 0.0371 0.9618 0.0011 0.0000 0.0000 0.0000 0.0000 
4.32 0.0335 0.9650 0.0015 0.0000 0.0000 0.0000 0.0000 
4.33 0.0304 0.9676 0.0020 0.0000 0.0000 0.0000 0.0000 
4.34 0.0277 0.9697 0.0026 0.0000 0.0000 0.0000 0.0000 
4.36 0.0253 0.9712 0.0035 0.0000 0.0000 0.0000 0.0000 
4.37 0.0231 0.9723 0.0046 0.0000 0.0000 0.0000 0.0000 
4.38 0.0212 0.9728 0.0059 0.0000 0.0000 0.0000 0.0000 
4.39 0.0196 0.9728 0.0076 0.0000 0.0000 0.0000 0.0000 
4.40 0.0180 0.9722 0.0097 0.0000 0.0000 0.0000 0.0000 
4.41 0.0167 0.9710 0.0123 0.0000 0.0000 0.0000 0.0000 
4.42 0.0154 0.9691 0.0155 0.0000 0.0000 0.0000 0.0000 
4.43 0.0143 0.9664 0.0193 0.0000 0.0000 0.0000 0.0000 
4.44 0.0132 0.9629 0.0239 0.0000 0.0000 0.0000 0.0000 
4.45 0.0123 0.9584 0.0293 0.0000 0.0000 0.0000 0.0000 
4.46 0.0114 0.9529 0.0358 0.0000 0.0000 0.0000 0.0000 
4.47 0.0106 0.9461 0.0433 0.0000 0.0000 0.0000 0.0000 
4.48 0.0098 0.9381 0.0521 0.0000 0.0000 0.0000 0.0000 
4.49 0.0091 0.9287 0.0622 0.0000 0.0000 0.0000 0.0000 
4.50 0.0084 0.9178 0.0738 0.0000 0.0000 0.0000 0.0000 
4.51 0.0078 0.9052 0.0870 0.0000 0.0000 0.0000 0.0000 
4.52 0.0072 0.8909 0.1019 0.0000 0.0000 0.0000 0.0000 
4.53 0.0067 0.8748 0.1185 0.0000 0.0000 0.0000 0.0000 
4.54 0.0062 0.8568 0.1370 0.0000 0.0000 0.0000 0.0000 
4.55 0.0057 0.8369 0.1574 0.0000 0.0000 0.0000 0.0000 
4.56 0.0052 0.8151 0.1797 0.0000 0.0000 0.0000 0.0000 
4.57 0.0048 0.7915 0.2037 0.0000 0.0000 0.0000 0.0000 
4.58 0.0043 0.7661 0.2295 0.0000 0.0000 0.0000 0.0000 
4.59 0.0040 0.7391 0.2569 0.0000 0.0000 0.0000 0.0000 
4.60 0.0036 0.7106 0.2858 0.0000 0.0000 0.0000 0.0000 
4.61 0.0033 0.6808 0.3159 0.0000 0.0000 0.0000 0.0000 
4.62 0.0029 0.6500 0.3471 0.0000 0.0000 0.0000 0.0000 
4.63 0.0026 0.6184 0.3789 0.0001 0.0000 0.0000 0.0000 
4.64 0.0024 0.5863 0.4112 0.0001 0.0000 0.0000 0.0000 
4.65 0.0021 0.5540 0.4437 0.0001 0.0000 0.0000 0.0000 
4.66 0.0019 0.5218 0.4762 0.0002 0.0000 0.0000 0.0000 
4.67 0.0017 0.4899 0.5082 0.0002 0.0000 0.0000 0.0000 
4.68 0.0015 0.4586 0.5396 0.0003 0.0000 0.0000 0.0000 
