#
# Ionization fraction vs T for O
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..IX = ionization stage of oxygen
#
logT  I      II     III    IV     V      VI     VII    VIII   IX     
3.95 0.9997 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3.96 0.9995 0.0005 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3.97 0.9993 0.0007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3.98 0.9989 0.0011 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3.99 0.9983 0.0017 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.00 0.9975 0.0025 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.01 0.9964 0.0036 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.02 0.9947 0.0053 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.03 0.9924 0.0076 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.04 0.9891 0.0109 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.05 0.9846 0.0154 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.06 0.9784 0.0216 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.07 0.9701 0.0299 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.08 0.9588 0.0412 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.09 0.9440 0.0560 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.10 0.9247 0.0753 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.11 0.9001 0.0999 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.12 0.8694 0.1306 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.13 0.8319 0.1681 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.14 0.7873 0.2127 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.15 0.7360 0.2640 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
