#
# Locations of nearby hot DA white dwarfs with OVI absorption
# line observations or upper limits
#
# Source: Savage & Lehner 2006, ApJS, 162, 134
#         Tables 1 and 3
#
# name = White Dwarf name
# lon = galactic longitude in decimal degrees
# lat = galactic latitiude in decimal degrees
# dpc = distance from the Sun in parsecs
# logNa = log10 of the OVI column density in cm^-2
# lim = limit flag, Y = OVI upper limits, N = OVI detection
#
name         lon     lat     dpc    logNa  lim
WD0004+330   112.48  -28.69   97    12.79   N
WD0113+002   134.85  -61.88  100    13.06   Y
WD0147+674   128.58    5.44   99    13.01   Y
WD0416+402   160.20   -6.95  228    13.35   Y
WD0455-282   229.29  -36.17  102    13.42   N
WD0549+158   192.03   -5.34   49    12.62   Y
WD0603-483   255.78  -27.36  178    13.22   N
WD0715-703   281.62  -23.50   94    13.23   N
WD0802+413   179.22   30.94  230    13.48   Y
WD0809-728   285.82  -20.42  121    13.60   N
WD0830-535   270.11   -8.27   82    13.52   N
WD0937+505   166.90   47.12  218    13.48   N
WD1017-138   255.74   34.53   90    13.29   N
WD1041+580   150.12   52.17   93    12.99   Y
WD1100+716   134.48   42.92  141    13.30   N
WD1211+332   175.03   80.02  115    12.38   N
WD1234+481   129.81   69.01  129    12.91   N
WD1254+223   317.26   84.75   67    13.10   N
WD1314+293    54.10   84.16   68    12.94   N
WD1335+700   117.30   46.80  104    13.31   Y
WD1440+751   114.10   40.12   98    13.07   Y
WD1528+487    78.87   52.72  140    13.27   N
WD1603+432    68.23   47.95  114    13.06   N
WD1615-154   358.79   24.18   55    12.94   Y
WD1620+647    96.61   40.16  174    13.30   Y
WD1631+781   111.29   33.58   67    12.52   N
WD1634-573   329.88   -7.02   37    13.04   N
WD1636+351    56.98   41.40  109    12.95   N
WD1648+407    64.64   39.60  200    13.14   N
WD1800+685    98.73   29.78  159    12.96   N
WD1844-223    12.50   -9.25   62    12.84   Y
WD1845+683    98.84   25.65  125    12.95   Y
WD1917+595    91.02   20.04  111    13.10   Y
WD1950-432   356.49  -28.95  140    13.30   N
WD2004-605   336.58  -32.86   58    13.00   N
WD2014-575   340.20  -34.25   51    13.19   Y
WD2116+736   109.39   16.93  177    12.68   N
WD2124-224    26.81  -43.19  224    13.07   N
WD2309+105    87.26  -45.11   79    12.53   Y
