#
# Pyroxene Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Bronzite HS9.3B
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Bronzite_HS9.3B_Pyroxene_BECKc_AREF.html
#
# wavelength is in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
2.3610000e-001  4.3874018e-002  3.9605573e-003
2.4210002e-001  4.2100273e-002  2.6546679e-003
2.4810001e-001  4.3069959e-002  2.4351168e-003
2.5360000e-001  4.7728013e-002  1.5357496e-003
2.5860000e-001  4.9266785e-002  1.3844415e-003
2.6359999e-001  5.1487457e-002  1.1801869e-003
2.6859999e-001  5.4290179e-002  1.1255057e-003
2.7309999e-001  5.6763880e-002  1.2221502e-003
2.7710000e-001  5.8586117e-002  1.0746948e-003
2.8109998e-001  6.0947873e-002  1.0778606e-003
2.8509998e-001  6.2692538e-002  1.1091168e-003
2.8909999e-001  6.4105786e-002  1.1451019e-003
2.9310000e-001  6.5790124e-002  1.1845520e-003
2.9710001e-001  6.7124702e-002  1.2286948e-003
3.0109999e-001  6.8571337e-002  1.2818397e-003
3.0509999e-001  7.2422989e-002  1.3190014e-003
3.0910000e-001  7.5464152e-002  1.3485758e-003
3.1309998e-001  7.8516938e-002  1.3624955e-003
3.1709999e-001  8.2472503e-002  1.3902866e-003
3.2110000e-001  8.7484188e-002  1.4056440e-003
3.2510000e-001  9.1793694e-002  1.4181201e-003
3.2910001e-001  9.8217264e-002  1.4129529e-003
3.3309999e-001  1.0538474e-001  1.4270586e-003
3.3710000e-001  1.1132313e-001  1.4311662e-003
3.4109998e-001  1.1798546e-001  1.4375135e-003
3.4509999e-001  1.2563363e-001  1.4277328e-003
3.4909999e-001  1.3354047e-001  1.4464511e-003
3.5310000e-001  1.3963714e-001  7.8265910e-004
3.5710001e-001  1.4694507e-001  9.6508465e-004
3.6060002e-001  1.5391433e-001  1.1612250e-003
3.6360002e-001  1.5940206e-001  1.4132241e-003
3.6660004e-001  1.6249239e-001  1.0643527e-003
3.6960003e-001  1.6602242e-001  1.1448811e-003
3.7260002e-001  1.6871265e-001  7.9526828e-004
3.7560001e-001  1.7121233e-001  6.5612840e-004
3.7860000e-001  1.7513342e-001  9.0709061e-004
3.8109997e-001  1.7752941e-001  1.1411796e-003
3.8309997e-001  1.8032087e-001  9.4276579e-004
3.8509998e-001  1.8176790e-001  8.0462737e-004
3.8709998e-001  1.8445414e-001  9.4254786e-004
3.8909999e-001  1.8595418e-001  8.2887057e-004
3.9109999e-001  1.8795094e-001  7.6849962e-004
3.9309999e-001  1.8962620e-001  1.1985964e-003
3.9510000e-001  1.9076636e-001  9.2805823e-004
3.9710000e-001  1.9276746e-001  8.9989777e-004
3.9910001e-001  1.9503063e-001  7.5750070e-004
4.0109998e-001  1.9512896e-001  8.0089289e-004
4.0309998e-001  1.9614321e-001  7.6949707e-004
4.0509999e-001  1.9771893e-001  6.3688145e-004
4.0709999e-001  1.9936079e-001  6.3719880e-004
4.0910000e-001  2.0010039e-001  7.0105551e-004
4.1109997e-001  2.0199960e-001  8.4324559e-004
4.1280001e-001  2.0296529e-001  1.1381391e-003
4.1580001e-001  2.0430912e-001  8.3910325e-004
4.1880000e-001  2.0645149e-001  8.3868683e-004
4.2180002e-001  2.0754108e-001  7.3999050e-004
4.2480004e-001  2.0813130e-001  8.4084918e-004
4.2780003e-001  2.0961699e-001  6.9070864e-004
4.3080002e-001  2.1415035e-001  6.1125500e-004
4.3380001e-001  2.1950991e-001  8.5320236e-004
4.3680003e-001  2.2289884e-001  7.1800360e-004
4.3980002e-001  2.2636016e-001  6.1691564e-004
4.4280002e-001  2.2885914e-001  5.7909405e-004
4.4580001e-001  2.3006299e-001  6.4265309e-004
4.4880000e-001  2.3271158e-001  6.7643914e-004
4.5130000e-001  2.3672755e-001  1.4090198e-003
4.5330000e-001  2.3709889e-001  1.0435894e-003
4.5530000e-001  2.3852293e-001  9.0283604e-004
