#
# Carbon Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Carbon Black GDS68
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Carbon_Black_GDS68_sm.ap._BECKa_AREF.html
#
# wavelength in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
2.2110000e-001  2.7206442e-003  1.1840031e-003
2.2910000e-001  8.7862853e-003  8.2485063e-004
2.3610000e-001  1.3753593e-002  5.6687591e-004
2.4210002e-001  1.2971115e-002  3.8435351e-004
2.4810001e-001  1.5191991e-002  3.7815759e-004
2.5360000e-001  1.6014924e-002  3.7934061e-004
2.5860000e-001  1.6301077e-002  3.8424024e-004
2.6359999e-001  1.5714398e-002  3.7251084e-004
2.6859999e-001  1.7018201e-002  3.8991720e-004
2.7309999e-001  1.7663186e-002  4.0996986e-004
2.7710000e-001  1.7654346e-002  4.1005528e-004
2.8109998e-001  1.7172188e-002  4.2968814e-004
2.8509998e-001  1.7023036e-002  4.3452717e-004
2.8909999e-001  1.6444603e-002  4.3094988e-004
2.9310000e-001  1.6398763e-002  4.1670472e-004
2.9710001e-001  1.7463023e-002  4.3688461e-004
3.0109999e-001  1.6749157e-002  5.0127500e-004
3.0509999e-001  1.8450953e-002  5.0883560e-004
3.0910000e-001  1.6659956e-002  4.5391556e-004
3.1309998e-001  1.7720422e-002  5.2889233e-004
3.1709999e-001  1.6890742e-002  4.9159519e-004
3.2110000e-001  1.7755458e-002  5.1525753e-004
3.2510000e-001  1.9053087e-002  5.4473942e-004
3.2910001e-001  1.7012691e-002  5.0562632e-004
3.3309999e-001  1.6861230e-002  4.7007168e-004
3.3710000e-001  1.6676472e-002  4.9489539e-004
3.4109998e-001  1.6857874e-002  5.1547319e-004
3.4509999e-001  1.7226998e-002  4.9452845e-004
3.4909999e-001  1.6771574e-002  5.1497394e-004
3.5310000e-001  1.6321965e-002  2.3870416e-004
3.5710001e-001  1.6205139e-002  1.8405900e-004
3.6060002e-001  1.6374750e-002  1.7127462e-004
3.6360002e-001  1.6475936e-002  1.3471783e-004
3.6660004e-001  1.6426202e-002  1.7163625e-004
3.6960003e-001  1.6370257e-002  1.0630700e-004
3.7260002e-001  1.6386278e-002  1.4657398e-004
3.7560001e-001  1.6271643e-002  1.2138173e-004
3.7860000e-001  1.6295407e-002  1.7768059e-004
3.8109997e-001  1.6284622e-002  2.4641273e-004
3.8309997e-001  1.6456582e-002  1.7742117e-004
3.8509998e-001  1.6173311e-002  1.3699853e-004
3.8709998e-001  1.6198548e-002  1.1803092e-004
3.8909999e-001  1.6398931e-002  1.6239620e-004
3.9109999e-001  1.6263502e-002  1.5651905e-004
3.9309999e-001  1.6298229e-002  9.7035663e-005
3.9510000e-001  1.6099591e-002  2.1165372e-004
3.9710000e-001  1.6323267e-002  1.1055296e-004
3.9910001e-001  1.6057098e-002  2.5930593e-004
4.0109998e-001  1.6000995e-002  1.7715659e-004
4.0309998e-001  1.6063191e-002  1.7395813e-004
4.0509999e-001  1.5971866e-002  1.2265999e-004
4.0709999e-001  1.6087666e-002  8.3481886e-005
4.0910000e-001  1.6024049e-002  1.0088048e-004
4.1109997e-001  1.6087748e-002  3.2361699e-004
