#
# ISO SWS/LWS Spectra of young stellar object GL7009S
# Dartois et al. 1998, A&A, 
#
# Combined SWS/LWS spectrum of GL7009 S obtained from P.Cox 
# through XT on 09/12/98
#
# lam - wavelength in microns
# flux - flux in W/cm^2/um
#
lam      flux
  2.3806 -8.05535e-18  
  2.3826 -1.39631e-17  
  2.3845 -1.82953e-17  
  2.3865 -1.95586e-17  
  2.3885 -1.82879e-17  
  2.3905 -1.64082e-17  
  2.3925 -1.60693e-17  
  2.3945 -1.66055e-17  
  2.3965 -1.55773e-17  
  2.3985 -1.24298e-17  
  2.4005 -9.75343e-18  
  2.4025 -9.49319e-18  
  2.4045 -1.08323e-17  
  2.4065 -1.19386e-17  
  2.4085 -1.18526e-17  
  2.4105 -9.42013e-18  
  2.4125 -3.68041e-18  
  2.4145  4.35406e-18  
  2.4166  1.04478e-17  
  2.4186  9.90910e-18  
  2.4206  3.23498e-18  
  2.4226 -3.08446e-18  
  2.4246 -4.09500e-18  
  2.4266 -1.26938e-18  
  2.4287  1.16903e-18  
  2.4307  1.65869e-18  
  2.4327  1.75342e-18  
  2.4347  2.50844e-18  
  2.4368  2.94330e-18  
  2.4388  2.39824e-18  
  2.4408  2.02313e-18  
  2.4429  2.62581e-18  
  2.4449  3.12135e-18  
  2.4469  2.28858e-18  
  2.4490  9.64944e-19  
  2.4510  7.84610e-19  
  2.4531  1.73205e-18  
  2.4551  2.13860e-18  
  2.4572  8.69724e-19  
  2.4592 -1.64011e-18  
  2.4613 -3.63647e-18  
  2.4633 -3.63674e-18  
  2.4654 -1.31970e-18  
  2.4674  1.98480e-18  
  2.4695  4.87597e-18  
  2.4715  6.40634e-18  
  2.4736  6.85925e-18  
  2.4757  6.64420e-18  
  2.4777  6.04503e-18  
  2.4798  5.36374e-18  
  2.4819  4.63091e-18  
  2.4839  3.51697e-18  
  2.4860  2.70156e-18  
  2.4881  3.27458e-18  
  2.4901  4.96156e-18  
  2.4922  6.33460e-18  
  2.4943  6.77754e-18  
  2.4964  6.70471e-18  
  2.4985  6.12662e-18  
  2.5005  4.84556e-18  
  2.5026  3.20525e-18  
  2.5047  2.35069e-18  
  2.5068  3.36242e-18  
  2.5089  5.27833e-18  
  2.5110  4.87562e-18  
  2.5131  9.01917e-19  
  2.5152 -2.52488e-18  
  2.5173 -8.28997e-19  
  2.5194  4.52542e-18  
  2.5215  8.07073e-18  
  2.5236  8.10193e-18  
  2.5257  7.14643e-18  
  2.5278  7.65167e-18  
  2.5299  8.98863e-18  
  2.5320  8.96901e-18  
  2.5341  6.23188e-18  
  2.5362  1.96758e-18  
  2.5383 -1.06988e-18  
  2.5405 -8.68470e-19  
  2.5426  1.38311e-18  
  2.5447  3.20072e-18  
  2.5468  2.97969e-18  
  2.5489  1.94258e-18  
  2.5511  1.26680e-18  
  2.5532  9.24318e-19  
  2.5553  1.31121e-18  
  2.5574  3.36848e-18  
  2.5596  6.70078e-18  
  2.5617  9.27659e-18  
  2.5638  9.64511e-18  
  2.5660  7.49670e-18  
  2.5681  3.49120e-18  
  2.5703 -1.02232e-18  
  2.5724 -2.90469e-18  
  2.5746 -7.26691e-19  
  2.5767  3.29070e-18  
  2.5788  5.66423e-18  
  2.5810  6.11568e-18  
  2.5831  6.38132e-18  
  2.5853  6.61411e-18  
  2.5875  5.75556e-18  
  2.5896  4.50008e-18  
  2.5918  4.93072e-18  
  2.5939  7.92537e-18  
  2.5961  1.21767e-17  
  2.5983  1.59812e-17  
  2.6018  2.60828e-17  
  2.6040  2.39855e-17  
  2.6062  2.34904e-17  
  2.6083  2.36181e-17  
  2.6105  2.39766e-17  
  2.6127  2.40395e-17  
  2.6149  2.30882e-17  
  2.6170  2.03054e-17  
  2.6192  1.73272e-17  
  2.6214  1.67481e-17  
  2.6236  1.90338e-17  
  2.6258  2.14942e-17  
  2.6280  2.15522e-17  
  2.6302  1.87099e-17  
  2.6323  1.57275e-17  
  2.6345  1.48673e-17  
  2.6367  1.62179e-17  
  2.6389  1.77393e-17  
  2.6411  1.76498e-17  
  2.6433  1.49480e-17  
  2.6455  1.08293e-17  
  2.6477  7.68898e-18  
  2.6500  7.03725e-18  
  2.6522  9.07656e-18  
  2.6544  1.30820e-17  
  2.6566  1.75021e-17  
  2.6588  2.07551e-17  
  2.6610  2.23775e-17  
  2.6632  2.30913e-17  
  2.6655  2.34332e-17  
  2.6677  2.29337e-17  
  2.6699  2.17652e-17  
  2.6721  2.17804e-17  
  2.6744  2.47486e-17  
  2.6766  2.97054e-17  
  2.6788  3.44459e-17  
  2.6811  3.76661e-17  
  2.6833  3.96859e-17  
  2.6855  4.08558e-17  
  2.6878  4.10402e-17  
  2.6900  3.97402e-17  
  2.6922  3.67961e-17  
  2.6945  3.23633e-17  
  2.6967  2.73737e-17  
  2.6990  2.33037e-17  
  2.7012  2.03578e-17  
  2.7035  1.76697e-17  
  2.7057  1.51183e-17  
  2.7080  1.38800e-17  
  2.7103  1.51897e-17  
  2.7125  1.85299e-17  
  2.7148  2.26599e-17  
  2.7170  2.60933e-17  
  2.7193  2.77302e-17  
  2.7216  2.72486e-17  
  2.7238  2.54686e-17  
  2.7261  2.36172e-17  
  2.7284  2.21318e-17  
  2.7307  2.08034e-17  
  2.7329  1.96934e-17  
  2.7352  1.95140e-17  
  2.7375  2.11264e-17  
  2.7398  2.41909e-17  
  2.7421  2.73530e-17  
  2.7443  2.86247e-17  
  2.7466  2.71192e-17  
  2.7489  2.39642e-17  
  2.7512  2.11872e-17  
  2.7535  1.97039e-17  
