#
# Real and Imaginary index of refraction of intrinsic silicon
# at 300K
#
# Green 2008, Solar Energy Materials and Solar Cells, 92, 1305
# Table 1
#
# lamr - wavelength for nr in microns
# nr - real index of refraction
# lami - wavelength for ni in microns = n/a where undefined
# ni - imaginary index of refraction = n/a where undefined
# 
lamr   nr  lami   ni 
0.25 1.665 0.25 3.665
0.26 1.757 0.26 4.084
0.27 2.068 0.27 4.680
0.28 2.959 0.28 5.287
0.29 4.356 0.29 5.286
0.30 4.976 0.30 4.234
0.31 5.121 0.31 3.598
0.32 5.112 0.32 3.303
0.33 5.195 0.33 3.100
0.34 5.301 0.34 2.977
0.35 5.494 0.35 2.938
0.36 6.026 0.36 2.966
0.37 6.891 0.37 2.171
0.38 6.616 0.38 0.946
0.39 6.039 0.39 0.445
0.40 5.613 0.40 0.296
0.41 5.330 0.41 0.227
0.42 5.119 0.42 0.176
0.43 4.949 0.43 0.138
0.44 4.812 0.44 0.107
0.45 4.691 0.45 0.086
0.46 4.587 0.46 0.071
0.47 4.497 0.47 0.062
0.48 4.419 0.48 0.055
0.49 4.350 0.49 0.049
0.50 4.294 0.50 0.044
0.51 4.241 0.51 0.039
0.52 4.193 0.52 0.036
0.53 4.151 0.53 0.033
0.54 4.112 0.54 0.030
0.55 4.077 0.55 0.028
0.56 4.045 0.56 0.026
0.57 4.015 0.57 0.024
0.58 3.988 0.58 0.023
0.59 3.963 0.59 0.021
0.60 3.940 0.60 0.020
0.61 3.918 0.61 0.018
0.62 3.898 0.62 0.017
0.63 3.879 0.63 0.016
0.64 3.861 0.64 0.015
0.65 3.844 0.65 0.014
0.66 3.828 0.66 0.013
0.67 3.813 0.67 0.013
0.68 3.798 0.68 0.012
0.69 3.784 0.69 0.011
0.70 3.772 0.70 0.011
0.71 3.759 0.71 0.010
0.72 3.748 0.72 0.010
0.73 3.737 0.73 0.009
0.74 3.727 0.74 0.008
0.75 3.717 0.75 0.008
0.76 3.708 0.76 0.007
0.77 3.699 0.77 0.007
0.78 3.691 0.78 0.006
0.79 3.683 0.79 0.006
0.80 3.675 0.80 0.005
0.81 3.668 0.81 0.005
0.82 3.661 0.82 0.005
0.83 3.654 0.83 0.004
0.84 3.647 0.84 0.004
0.85 3.641 0.85 0.004
0.86 3.635 0.86 0.003
0.87 3.630 0.87 0.003
0.88 3.624 0.88 0.003
0.89 3.619 0.89 0.002
0.90 3.614 0.90 0.002
0.91 3.609 0.91 0.002
0.92 3.604 0.92 0.002
0.93 3.600 0.93 0.002
0.94 3.595 0.94 0.001
0.95 3.591 0.95 0.001
0.96 3.587 0.96 0.001
0.97 3.583 0.97 0.001
0.98 3.579 0.98 0.001
0.99 3.575 0.99 0.001
1.00 3.572 1.00 0.001
1.01 3.568 n/a   n/a
1.02 3.565 n/a   n/a
1.03 3.562 n/a   n/a
1.04 3.559 n/a   n/a
1.05 3.556 n/a   n/a
1.06 3.553 n/a   n/a
1.07 3.550 n/a   n/a
1.08 3.547 n/a   n/a
1.09 3.545 n/a   n/a
1.10 3.542 n/a   n/a
1.11 3.540 n/a   n/a
1.12 3.537 n/a   n/a
1.13 3.535 n/a   n/a
1.14 3.532 n/a   n/a
1.15 3.530 n/a   n/a
1.16 3.528 n/a   n/a
1.17 3.526 n/a   n/a
1.18 3.524 n/a   n/a
1.19 3.522 n/a   n/a
1.20 3.520 n/a   n/a
1.21 3.518 n/a   n/a
1.22 3.517 n/a   n/a
1.23 3.515 n/a   n/a
1.24 3.513 n/a   n/a
1.25 3.511 n/a   n/a
1.26 3.509 n/a   n/a
1.27 3.508 n/a   n/a
1.28 3.506 n/a   n/a
1.29 3.505 n/a   n/a
1.30 3.503 n/a   n/a
1.31 3.502 n/a   n/a
1.32 3.500 n/a   n/a
1.33 3.499 n/a   n/a
1.34 3.497 n/a   n/a
1.35 3.496 n/a   n/a
1.36 3.495 n/a   n/a
1.37 3.494 n/a   n/a
1.38 3.492 n/a   n/a
1.39 3.491 n/a   n/a
1.40 3.490 n/a   n/a
1.41 3.489 n/a   n/a
1.42 3.488 n/a   n/a
1.43 3.487 n/a   n/a
1.44 3.486 n/a   n/a
1.45 3.485 n/a   n/a
