#
# Draine & Li IR Dust Emission
# "big" graphitic grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.0912    1.00000E-90    2.63423E-22
   0.0916    1.00000E-90    2.63796E-22
   0.0920    1.00000E-90    2.64152E-22
   0.0925    1.00000E-90    2.64490E-22
   0.0929    1.00000E-90    2.64812E-22
   0.0933    1.00000E-90    2.65131E-22
   0.0937    1.00000E-90    2.65489E-22
   0.0942    1.00000E-90    2.65820E-22
   0.0946    1.00000E-90    2.66122E-22
   0.0950    1.00000E-90    2.66397E-22
   0.0954    1.00000E-90    2.66639E-22
   0.0959    1.00000E-90    2.66813E-22
   0.0963    1.00000E-90    2.66921E-22
   0.0968    1.00000E-90    2.66970E-22
   0.0972    1.00000E-90    2.66968E-22
   0.0976    1.00000E-90    2.66914E-22
   0.0981    1.00000E-90    2.66736E-22
   0.0985    1.00000E-90    2.66557E-22
   0.0990    1.00000E-90    2.66380E-22
   0.0994    1.00000E-90    2.66206E-22
   0.0999    1.00000E-90    2.66036E-22
   0.1004    1.00000E-90    2.65940E-22
   0.1008    1.00000E-90    2.65887E-22
   0.1013    1.00000E-90    2.65857E-22
   0.1017    1.00000E-90    2.65850E-22
   0.1022    1.00000E-90    2.65867E-22
   0.1027    1.00000E-90    2.65930E-22
   0.1031    1.00000E-90    2.66023E-22
   0.1036    1.00000E-90    2.66105E-22
   0.1041    1.00000E-90    2.66178E-22
   0.1046    1.00000E-90    2.66247E-22
   0.1050    1.00000E-90    2.66318E-22
   0.1055    1.00000E-90    2.66381E-22
   0.1060    1.00000E-90    2.66399E-22
   0.1065    1.00000E-90    2.66385E-22
   0.1070    1.00000E-90    2.66351E-22
   0.1074    1.00000E-90    2.66306E-22
   0.1079    1.00000E-90    2.66178E-22
   0.1084    1.00000E-90    2.65885E-22
   0.1089    1.00000E-90    2.65669E-22
   0.1094    1.00000E-90    2.65511E-22
   0.1099    1.00000E-90    2.65394E-22
   0.1104    1.00000E-90    2.65305E-22
   0.1109    1.00000E-90    2.65232E-22
   0.1114    1.00000E-90    2.65299E-22
   0.1119    1.00000E-90    2.65408E-22
   0.1125    1.00000E-90    2.65534E-22
   0.1130    1.00000E-90    2.65675E-22
   0.1135    1.00000E-90    2.65830E-22
   0.1140    1.00000E-90    2.65996E-22
   0.1145    1.00000E-90    2.66177E-22
   0.1150    1.00000E-90    2.66349E-22
   0.1156    1.00000E-90    2.66493E-22
   0.1161    1.00000E-90    2.66628E-22
   0.1166    1.00000E-90    2.66751E-22
   0.1172    1.00000E-90    2.66858E-22
   0.1177    1.00000E-90    2.66946E-22
   0.1182    1.00000E-90    2.67027E-22
   0.1188    1.00000E-90    2.67111E-22
   0.1193    1.00000E-90    2.67181E-22
   0.1199    1.00000E-90    2.67235E-22
   0.1204    1.00000E-90    2.67272E-22
   0.1210    1.00000E-90    2.67289E-22
   0.1215    1.00000E-90    2.67286E-22
   0.1221    1.00000E-90    2.67248E-22
   0.1226    1.00000E-90    2.67177E-22
   0.1232    1.00000E-90    2.67073E-22
   0.1237    1.00000E-90    2.66930E-22
   0.1243    1.00000E-90    2.66747E-22
   0.1249    1.00000E-90    2.66520E-22
   0.1254    1.00000E-90    2.66236E-22
   0.1260    1.00000E-90    2.65897E-22
   0.1266    1.00000E-90    2.65499E-22
   0.1272    1.00000E-90    2.65039E-22
   0.1278    1.00000E-90    2.64513E-22
   0.1283    1.00000E-90    2.63918E-22
   0.1289    1.00000E-90    2.63255E-22
   0.1295    1.00000E-90    2.62523E-22
   0.1301    1.00000E-90    2.61714E-22
   0.1307    1.00000E-90    2.60839E-22
   0.1313    1.00000E-90    2.59900E-22
   0.1319    1.00000E-90    2.58899E-22
   0.1325    1.00000E-90    2.57837E-22
   0.1331    1.00000E-90    2.56717E-22
   0.1337    1.00000E-90    2.55544E-22
   0.1343    1.00000E-90    2.54323E-22
   0.1349    1.00000E-90    2.53053E-22
   0.1355    1.00000E-90    2.51738E-22
   0.1362    1.00000E-90    2.50379E-22
   0.1368    1.00000E-90    2.48989E-22
   0.1374    1.00000E-90    2.47563E-22
   0.1380    1.00000E-90    2.46105E-22
   0.1387    1.00000E-90    2.44616E-22
   0.1393    1.00000E-90    2.43090E-22
   0.1399    1.00000E-90    2.41522E-22
   0.1406    1.00000E-90    2.39921E-22
   0.1412    1.00000E-90    2.38288E-22
   0.1419    1.00000E-90    2.36622E-22
   0.1425    1.00000E-90    2.34929E-22
   0.1432    1.00000E-90    2.33212E-22
   0.1438    1.00000E-90    2.31477E-22
   0.1445    1.00000E-90    2.29723E-22
   0.1451    1.00000E-90    2.27965E-22
   0.1458    1.00000E-90    2.26226E-22
   0.1465    1.00000E-90    2.24530E-22
   0.1471    1.00000E-90    2.22869E-22
   0.1478    1.00000E-90    2.21246E-22
   0.1485    1.00000E-90    2.19668E-22
   0.1491    1.00000E-90    2.18155E-22
   0.1498    1.00000E-90    2.16736E-22
   0.1505    1.00000E-90    2.15361E-22
   0.1512    1.00000E-90    2.14034E-22
   0.1519    1.00000E-90    2.12759E-22
   0.1526    1.00000E-90    2.11538E-22
   0.1533    1.00000E-90    2.10374E-22
   0.1540    1.00000E-90    2.09270E-22
   0.1547    1.00000E-90    2.08227E-22
   0.1554    1.00000E-90    2.07222E-22
   0.1561    1.00000E-90    2.06263E-22
   0.1568    1.00000E-90    2.05370E-22
   0.1575    1.00000E-90    2.04544E-22
   0.1582    1.00000E-90    2.03787E-22
   0.1590    1.00000E-90    2.03100E-22
   0.1597    1.00000E-90    2.02481E-22
   0.1604    1.00000E-90    2.01950E-22
   0.1612    1.00000E-90    2.01522E-22
   0.1619    1.00000E-90    2.01191E-22
   0.1626    1.00000E-90    2.00953E-22
   0.1634    1.00000E-90    2.00807E-22
   0.1641    1.00000E-90    2.00748E-22
   0.1649    1.00000E-90    2.00775E-22
   0.1656    1.00000E-90    2.00899E-22
   0.1664    1.00000E-90    2.01138E-22
   0.1671    1.00000E-90    2.01466E-22
   0.1679    1.00000E-90    2.01877E-22
   0.1687    1.00000E-90    2.02363E-22
   0.1694    1.00000E-90    2.02920E-22
   0.1702    1.00000E-90    2.03536E-22
   0.1710    1.00000E-90    2.04202E-22
   0.1718    1.00000E-90    2.04929E-22
   0.1726    1.00000E-90    2.05711E-22
   0.1733    1.00000E-90    2.06543E-22
   0.1741    1.00000E-90    2.07420E-22
   0.1749    1.00000E-90    2.08339E-22
   0.1757    1.00000E-90    2.09297E-22
   0.1765    1.00000E-90    2.10291E-22
   0.1773    1.00000E-90    2.11319E-22
   0.1781    1.00000E-90    2.12380E-22
   0.1790    1.00000E-90    2.13472E-22
   0.1798    1.00000E-90    2.14594E-22
   0.1806    1.00000E-90    2.15759E-22
   0.1814    1.00000E-90    2.16954E-22
   0.1822    1.00000E-90    2.18176E-22
   0.1831    1.00000E-90    2.19424E-22
   0.1839    1.00000E-90    2.20701E-22
   0.1848    1.00000E-90    2.22005E-22
   0.1856    1.00000E-90    2.23338E-22
   0.1864    1.00000E-90    2.24702E-22
   0.1873    1.00000E-90    2.26098E-22
   0.1881    1.00000E-90    2.27526E-22
   0.1890    1.00000E-90    2.28987E-22
   0.1899    1.00000E-90    2.30485E-22
   0.1907    1.00000E-90    2.31990E-22
   0.1916    1.00000E-90    2.33523E-22
   0.1925    1.00000E-90    2.35087E-22
   0.1934    1.00000E-90    2.36683E-22
   0.1942    1.00000E-90    2.38312E-22
   0.1951    1.00000E-90    2.39974E-22
   0.1960    1.00000E-90    2.41668E-22
   0.1969    1.00000E-90    2.43394E-22
   0.1978    1.00000E-90    2.45150E-22
   0.1987    1.00000E-90    2.46936E-22
   0.1996    1.00000E-90    2.48750E-22
   0.2005    1.00000E-90    2.50586E-22
   0.2015    1.00000E-90    2.52444E-22
   0.2024    1.00000E-90    2.54325E-22
   0.2033    1.00000E-90    2.56225E-22
   0.2042    1.00000E-90    2.58139E-22
   0.2052    1.00000E-90    2.60065E-22
   0.2061    1.00000E-90    2.61997E-22
   0.2070    1.00000E-90    2.63932E-22
   0.2080    1.00000E-90    2.65863E-22
   0.2089    1.00000E-90    2.67787E-22
   0.2099    1.00000E-90    2.69697E-22
