#
# Draine & Li IR Dust Emission
# "small" graphitic/PAH grains (a<250A)
#
# lambda - wavelength in microns
# PAHs - PAH IR emission per H column (erg s^-1 H^-1)
# sigPAHs - PAH exinction cross section
# smGra - small graphitic grain IR emission per H column (erg s^-1 H^-1)
# sigGra - small graphitic grain exinction cross section
# 
lambda      PAHs         sigPAHs      smGra        sigGra    
   0.0912   5.7766E-48   8.8049E-22   2.7260E-51   1.3756E-22
   0.0916   1.6636E-48   8.7104E-22   2.5824E-51   1.3723E-22
   0.0920   2.1889E-48   8.6179E-22   3.3979E-51   1.3687E-22
   0.0925   5.5149E-48   8.5273E-22   8.5608E-51   1.3649E-22
   0.0929   1.0048E-47   8.4385E-22   1.5598E-50   1.3608E-22
   0.0933   1.3192E-47   8.3516E-22   2.0478E-50   1.3567E-22
   0.0937   2.1292E-47   8.2671E-22   3.3052E-50   1.3532E-22
   0.0942   2.7902E-47   8.1839E-22   4.3313E-50   1.3491E-22
   0.0946   4.2078E-47   8.1017E-22   6.5318E-50   1.3445E-22
   0.0950   6.0861E-47   8.0205E-22   9.4475E-50   1.3394E-22
   0.0954   7.9546E-47   7.9400E-22   1.2348E-49   1.3336E-22
   0.0959   1.1183E-46   7.8591E-22   1.7359E-49   1.3263E-22
   0.0963   1.5410E-46   7.7789E-22   2.3921E-49   1.3180E-22
   0.0968   2.0083E-46   7.6997E-22   3.1175E-49   1.3089E-22
   0.0972   2.7259E-46   7.6215E-22   4.2314E-49   1.2991E-22
   0.0976   3.6606E-46   7.5443E-22   5.6823E-49   1.2887E-22
   0.0981   4.7564E-46   7.4684E-22   7.3833E-49   1.2769E-22
   0.0985   6.3287E-46   7.3941E-22   9.8241E-49   1.2653E-22
   0.0990   8.3659E-46   7.3214E-22   1.2986E-48   1.2539E-22
   0.0994   1.0837E-45   7.2503E-22   1.6822E-48   1.2425E-22
   0.0999   1.4222E-45   7.1806E-22   2.2076E-48   1.2312E-22
   0.1004   1.8504E-45   7.0740E-22   2.8723E-48   1.2197E-22
   0.1008   2.3821E-45   6.9887E-22   3.6977E-48   1.2094E-22
   0.1013   3.0911E-45   6.9034E-22   4.7983E-48   1.1991E-22
   0.1017   3.9688E-45   6.8181E-22   6.1607E-48   1.1889E-22
   0.1022   5.1270E-45   6.7329E-22   7.9586E-48   1.1787E-22
   0.1027   6.6037E-45   6.6474E-22   1.0251E-47   1.1685E-22
   0.1031   8.4454E-45   6.5614E-22   1.3110E-47   1.1577E-22
   0.1036   1.0837E-44   6.4751E-22   1.6822E-47   1.1463E-22
