#
# Draine & Li IR Dust Emission
# "big" silicate grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.0912    1.00000E-90    6.71805E-22
   0.0916    1.00000E-90    6.73025E-22
   0.0920    1.00000E-90    6.74181E-22
   0.0925    1.00000E-90    6.75278E-22
   0.0929    1.00000E-90    6.76321E-22
   0.0933    1.00000E-90    6.77302E-22
   0.0937    1.00000E-90    6.78186E-22
   0.0942    1.00000E-90    6.79029E-22
   0.0946    1.00000E-90    6.79832E-22
   0.0950    1.00000E-90    6.80597E-22
   0.0954    1.00000E-90    6.81331E-22
   0.0959    1.00000E-90    6.82055E-22
   0.0963    1.00000E-90    6.82764E-22
   0.0968    1.00000E-90    6.83459E-22
   0.0972    1.00000E-90    6.84140E-22
   0.0976    1.00000E-90    6.84810E-22
   0.0981    1.00000E-90    6.85482E-22
   0.0985    1.00000E-90    6.86149E-22
   0.0990    1.00000E-90    6.86811E-22
   0.0994    1.00000E-90    6.87470E-22
   0.0999    1.00000E-90    6.88126E-22
   0.1004    1.00000E-90    6.88839E-22
   0.1008    1.00000E-90    6.89541E-22
   0.1013    1.00000E-90    6.90215E-22
   0.1017    1.00000E-90    6.90866E-22
   0.1022    1.00000E-90    6.91497E-22
   0.1027    1.00000E-90    6.92075E-22
   0.1031    1.00000E-90    6.92578E-22
   0.1036    1.00000E-90    6.93055E-22
   0.1041    1.00000E-90    6.93508E-22
   0.1046    1.00000E-90    6.93937E-22
   0.1050    1.00000E-90    6.94338E-22
   0.1055    1.00000E-90    6.94631E-22
   0.1060    1.00000E-90    6.94920E-22
   0.1065    1.00000E-90    6.95204E-22
   0.1070    1.00000E-90    6.95482E-22
   0.1074    1.00000E-90    6.95752E-22
   0.1079    1.00000E-90    6.96029E-22
   0.1084    1.00000E-90    6.96359E-22
   0.1089    1.00000E-90    6.96699E-22
   0.1094    1.00000E-90    6.97049E-22
   0.1099    1.00000E-90    6.97407E-22
   0.1104    1.00000E-90    6.97774E-22
   0.1109    1.00000E-90    6.98147E-22
   0.1114    1.00000E-90    6.98528E-22
   0.1119    1.00000E-90    6.98916E-22
   0.1125    1.00000E-90    6.99311E-22
   0.1130    1.00000E-90    6.99713E-22
   0.1135    1.00000E-90    7.00122E-22
   0.1140    1.00000E-90    7.00537E-22
   0.1145    1.00000E-90    7.00957E-22
   0.1150    1.00000E-90    7.01384E-22
   0.1156    1.00000E-90    7.01819E-22
   0.1161    1.00000E-90    7.02261E-22
   0.1166    1.00000E-90    7.02709E-22
   0.1172    1.00000E-90    7.03163E-22
   0.1177    1.00000E-90    7.03622E-22
   0.1182    1.00000E-90    7.04087E-22
   0.1188    1.00000E-90    7.04559E-22
   0.1193    1.00000E-90    7.05038E-22
   0.1199    1.00000E-90    7.05524E-22
   0.1204    1.00000E-90    7.06015E-22
   0.1210    1.00000E-90    7.06513E-22
   0.1215    1.00000E-90    7.07016E-22
   0.1221    1.00000E-90    7.07526E-22
   0.1226    1.00000E-90    7.08043E-22
   0.1232    1.00000E-90    7.08566E-22
   0.1237    1.00000E-90    7.09094E-22
   0.1243    1.00000E-90    7.09628E-22
   0.1249    1.00000E-90    7.10167E-22
   0.1254    1.00000E-90    7.10714E-22
   0.1260    1.00000E-90    7.11267E-22
   0.1266    1.00000E-90    7.11828E-22
