#
# Draine & Li IR Dust Emission
# "small" silicate grains (a<250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda      lamIlamH     sigExt    
   0.0912   3.3237E-50   5.5515E-22
   0.0916   1.6667E-50   5.5324E-22
   0.0920   1.8216E-39   5.5090E-22
   0.0925   2.1076E-39   5.4816E-22
   0.0929   3.3517E-39   5.4504E-22
   0.0933   5.3540E-39   5.4163E-22
   0.0937   6.1805E-39   5.3828E-22
   0.0942   7.4068E-39   5.3481E-22
   0.0946   8.5339E-39   5.3123E-22
   0.0950   1.1467E-38   5.2754E-22
   0.0954   1.3195E-38   5.2376E-22
   0.0959   1.7186E-38   5.1998E-22
   0.0963   1.9753E-38   5.1615E-22
   0.0968   2.2916E-38   5.1228E-22
   0.0972   2.6293E-38   5.0838E-22
   0.0976   3.2423E-38   5.0446E-22
   0.0981   3.9102E-38   5.0061E-22
   0.0985   4.4795E-38   4.9670E-22
   0.0990   5.2780E-38   4.9275E-22
   0.0994   6.0360E-38   4.8875E-22
   0.0999   6.9622E-38   4.8471E-22
   0.1004   7.9467E-38   4.8072E-22
   0.1008   9.2527E-38   4.7661E-22
   0.1013   1.0537E-37   4.7234E-22
   0.1017   1.2144E-37   4.6793E-22
   0.1022   1.3799E-37   4.6339E-22
   0.1027   1.5848E-37   4.5839E-22
   0.1031   1.7933E-37   4.5293E-22
   0.1036   2.0471E-37   4.4746E-22
   0.1041   2.3295E-37   4.4198E-22
   0.1046   2.6315E-37   4.3649E-22
   0.1050   2.9895E-37   4.3101E-22
   0.1055   3.3823E-37   4.2599E-22
   0.1060   3.8423E-37   4.2108E-22
   0.1065   4.3452E-37   4.1628E-22
   0.1070   4.9206E-37   4.1158E-22
   0.1074   5.5620E-37   4.0699E-22
   0.1079   6.3168E-37   4.0252E-22
   0.1084   7.1347E-37   3.9819E-22
   0.1089   8.0669E-37   3.9394E-22
   0.1094   9.1233E-37   3.8976E-22
   0.1099   1.0290E-36   3.8565E-22
   0.1104   1.1621E-36   3.8161E-22
   0.1109   1.3095E-36   3.7764E-22
   0.1114   1.4759E-36   3.7370E-22
   0.1119   1.6611E-36   3.6980E-22
   0.1125   1.8707E-36   3.6596E-22
   0.1130   2.1031E-36   3.6215E-22
   0.1135   2.3655E-36   3.5840E-22
   0.1140   2.6567E-36   3.5469E-22
   0.1145   2.9845E-36   3.5102E-22
   0.1150   3.3482E-36   3.4739E-22
   0.1156   3.7562E-36   3.4380E-22
   0.1161   4.2114E-36   3.4024E-22
   0.1166   4.7165E-36   3.3671E-22
   0.1172   5.2814E-36   3.3322E-22
   0.1177   5.9081E-36   3.2976E-22
   0.1182   6.6077E-36   3.2633E-22
   0.1188   7.3829E-36   3.2291E-22
   0.1193   8.2465E-36   3.1952E-22
