#
# Olivine Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Olivine GDS70a
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_GDS70.a_Fo89_165um_BECKb_AREF.html
#
# wavelength is in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
2.5360000e-001  6.0874362e-002  1.4657050e-003
2.5860000e-001  6.1360549e-002  1.4395501e-003
2.6359999e-001  6.0089841e-002  1.4285027e-003
2.6859999e-001  6.0109612e-002  1.4373744e-003
2.7309999e-001  5.9500851e-002  1.4622301e-003
2.7710000e-001  6.0434911e-002  1.4859661e-003
2.8109998e-001  6.1493244e-002  1.5079608e-003
2.8509998e-001  5.8987230e-002  1.5528096e-003
2.8909999e-001  6.2717870e-002  1.6014269e-003
2.9310000e-001  6.5627828e-002  1.6476676e-003
2.9710001e-001  6.5489449e-002  1.6931861e-003
3.0109999e-001  6.2514357e-002  1.7412319e-003
3.0509999e-001  6.1415639e-002  1.7802101e-003
3.0910000e-001  6.7768298e-002  1.8127930e-003
3.1309998e-001  6.8208776e-002  1.8243116e-003
3.1709999e-001  6.8916008e-002  1.8342230e-003
3.2110000e-001  7.0552982e-002  1.8398771e-003
3.2510000e-001  7.3704213e-002  1.8597849e-003
3.2910001e-001  7.6291412e-002  1.8494771e-003
3.3309999e-001  7.9359218e-002  1.8595731e-003
3.3710000e-001  8.5933410e-002  1.8547705e-003
3.4109998e-001  9.2176095e-002  1.8536884e-003
3.4509999e-001  9.6414462e-002  1.8313051e-003
3.4909999e-001  1.0601971e-001  1.8574432e-003
3.5310000e-001  1.1467177e-001  1.0703520e-003
3.5710001e-001  1.2273251e-001  6.9847971e-004
3.6060002e-001  1.3087040e-001  6.4082874e-004
3.6360002e-001  1.3648853e-001  7.5465883e-004
3.6660004e-001  1.4160496e-001  1.1302204e-003
3.6960003e-001  1.4639004e-001  7.3350646e-004
3.7260002e-001  1.5184796e-001  7.3706906e-004
3.7560001e-001  1.5630175e-001  9.5811911e-004
3.7860000e-001  1.6158788e-001  8.7988912e-004
3.8109997e-001  1.6615836e-001  9.9183258e-004
3.8309997e-001  1.6668624e-001  1.1444032e-003
3.8509998e-001  1.6967240e-001  9.5845829e-004
3.8709998e-001  1.7212397e-001  1.0702637e-003
3.8909999e-001  1.7565137e-001  1.0361942e-003
3.9109999e-001  1.7767452e-001  9.0552634e-004
3.9309999e-001  1.8123449e-001  7.1274547e-004
3.9510000e-001  1.8321086e-001  4.8985548e-004
3.9710000e-001  1.8630263e-001  6.7225791e-004
3.9910001e-001  1.8826887e-001  6.3521211e-004
4.0109998e-001  1.8647324e-001  7.7954592e-004
4.0309998e-001  1.8343158e-001  8.1337267e-004
4.0509999e-001  1.9263354e-001  7.2307629e-004
4.0709999e-001  1.8434691e-001  6.8807323e-004
4.0910000e-001  1.8548360e-001  7.5857760e-004
4.1109997e-001  2.0850265e-001  1.4914294e-003
4.1280001e-001  2.1186899e-001  9.5337600e-004
4.1580001e-001  2.1406034e-001  4.9970817e-004
4.1880000e-001  2.1733674e-001  1.6519995e-003
4.2180002e-001  2.1852411e-001  6.0052995e-004
4.2480004e-001  2.1876645e-001  6.8793102e-004
4.2780003e-001  2.2158515e-001  4.6046762e-004
4.3080002e-001  2.2328635e-001  5.9892703e-004
4.3380001e-001  2.2298411e-001  6.8591320e-004
4.3680003e-001  2.2408372e-001  6.5488886e-004
4.3980002e-001  2.2462773e-001  7.9700380e-004
4.4280002e-001  2.2372758e-001  6.4466579e-004
4.4580001e-001  2.2216725e-001  9.0100907e-004
