#
# Open Star Cluster luminosity and angular-diameter distances
# 
# Source: Trumpler, 1930, Lick Obs Bulletin, #420, 14, 154
#         Table 3
#
# "Good" data, which are clusters with reliable data flagged
# by Trumpler by being printed in regular font in Table 3.
#
# dL = observed [luminosity] distance in kiloparsecs (Table 3, column 8)
# dA = angular diameter distance in kiloparsecs (Table 3, column 10)
#
dL      dA
3.0     2.29
3.2     1.26
2.9     2.32
3.5     2.54
0.38    0.45
2.2     1.3
2.2     1.3
3.6     1.77
2.6     1.69
0.52    0.46
0.18    0.148
0.16    0.137
2.5     1.46
1.65    0.69
0.37    0.38
0.80    0.58
1.15    0.89
1.10    0.92
1.65    0.86
0.60    0.47
1.45    0.63
1.25    0.77
2.2     1.32
0.60    0.39
0.40    0.47
0.55    0.50
0.91    0.61
0.32    0.28
0.35    0.30
1.05    0.69
0.60    0.34
0.53    0.50
0.16    0.168
0.175   0.26
0.50    0.58
0.35    0.39
0.69    0.92
0.53    0.45
0.58    0.52
0.21    0.23
0.46    0.30
0.083   0.039
0.60    0.43
0.69    0.78
0.76    0.51
0.80    0.60
0.73    0.59
0.55    0.58
0.36    0.23
0.26    0.275
1.00    0.56
1.60    1.08
1.60    0.86
4.8     1.89
0.42    0.41
1.15    1.11
2.10    1.16
0.46    0.41
2.8     1.68
2.2     1.32
1.25    0.97
0.91    1.19
0.32    0.195
1.20    1.03
2.3     1.29
0.69    0.70
4.0     1.72
4.2     2.21
2.8     2.06
1.10    0.78
0.32    0.37
0.69    0.585
1.0     0.74
4.0     1.72
2.4     1.27
1.65    1.18
