#
# Molecular Hydrogen second electronic state potential curve
#
# Source: Sharp 1971, Atomic Data, 2, 119
#
# R - interproton distance in Angstroms
# eV - potential energy in electron volts
#
R      eV
0.5292 16.0959
0.5953 14.6525
0.6615 13.6809
0.7276 13.0383
0.7938 12.6137
0.8599 12.3514
0.9260 12.2030
0.9790 12.1447
1.0054 12.1314
1.0319 12.1270
1.0324 12.1270
1.0329 12.1270
1.0335 12.1270
1.0340 12.1270
1.0372 12.1271
1.0425 12.1275
1.0683 12.1304
1.1113 12.1571
1.1906 12.2353
1.3229 12.4310
1.4552 12.6683
1.5875 12.9192
1.8521 13.4005
2.1167 13.8070
2.3813 14.1193
2.6458 14.3409
2.9104 14.4866
3.1750 14.5762
3.4396 14.6292
3.7042 14.6562
3.9688 14.6701
4.1010 14.6741
4.2333 14.6769
4.3656 14.6786
4.4979 14.6796
4.6302 14.6801
4.7625 14.6802
4.8948 14.6801
5.0271 14.6798
5.2917 14.6789
