#
# Molecular Hydrogen electronic ground state potential curve
#
# Source: Sharp 1971, Atomic Data, 2, 119
#
# R - interproton distance in Angstroms
# eV - potential energy in electron volts
#
R      eV
0.2117 28.4030
0.2381 22.1248
0.2646 17.3439
0.2910 13.6393
0.3440  8.8260
0.3704  6.5848
0.3969  5.1070
0.4233  3.9173
0.4763  2.1871
0.5292  1.0743
0.5821  0.3799
0.6350 -0.0249
0.6879 -0.2266
0.7144 -0.2706
0.7355 -0.2839
0.7408 -0.2845 
0.7414 -0.2845 
0.7419 -0.2845 
0.7461 -0.2841 
0.7673 -0.2731 
0.7938 -0.2404 
0.8467 -0.1241 
0.8996  0.0425 
0.9525  0.2436 
1.0064  0.4672 
1.0583  0.7044 
1.1113  0.9486
1.1642  1.1944 
1.2171  1.4380 
1.2700  1.6763 
1.3229  1.9072 
1.3758  2.1289 
1.4288  2.3402 
1.4817  2.5401 
1.5346  2.7280 
1.5875  2.9036 
1.6404  3.0667 
1.6933  3.2173 
1.7463  3.3556 
1.7992  3.4819 
1.8521  3.5967
1.9050  3.7004
1.9579  3.7937
2.0108  3.8772
2.0638  3.9516
2.1167  4.0177
2.1696  4.0760
2.2225  4.1274
2.2754  4.1724
2.3283  4.2119
2.3813  4.2463
2.4342  4.2761
2.4871  4.3020
2.5400  4.3245
2.5929  4.3439
2.6458  4.3607
2.6988  4.3752
2.7517  4.3876
2.8046  4.3983
2.8575  4.4075
2.9104  4.4154
2.9633  4.4222
3.0163  4.4280
3.0692  4.4330
3.1221  4.4372
3.1750  4.4409
3.2279  4.4440
3.2808  4.4467
3.3338  4.4490
3.3867  4.4509
3.4396  4.4526
3.4925  4.4540
3.5454  4.4552
3.5983  4.4564
3.6513  4.4572
3.7042  4.4579
3.8100  4.4592
3.9158  4.4601
4.0217  4.4607
4.1275  4.4612
4.2333  4.4616
4.3656  4.4620
4.4979  4.4622
4.7625  4.4626
5.0271  4.4627
5.2917  4.4628
