#
# Molecular Hydrogen first electronic state potential curve
#
# Source: Sharp 1971, Atomic Data, 2, 119
#
# R - interproton distance in Angstroms
# eV - potential energy in electron volts
#
R      eV
0.5292 15.8563 
0.6616 13.3087 
0.7408 12.4700 
0.7938 12.0812 
0.8467 11.7898 
0.8996 11.5723 
0.9260 11.4856 
0.9525 11.4113 
1.0054 11.2938 
1.0583 11.2099 
1.1113 11.1520 
1.1800 11.1067 
1.2171 11.0934 
1.2700 11.0849 
1.2753 11.0847 
1.2806 11.0845 
1.2859 11.0845
1.2912 11.0846
1.2965 11.0847
1.3018 11.0850
1.3229 11.0868
1.3917 11.1016
1.4288 11.1144
1.4817 11.1375
1.5878 11.1977
1.7198 11.2933
1.8821 11.4053
1.9844 11.5291
2.1167 11.6612
2.3813 11.9401
2.6458 12.2237
2.9104 12.5018
3.1750 12.7668
3.4396 13.0167
3.7042 13.2465
3.9688 13.4585
4.2333 13.6520
4.7625 13.9855
5.2917 14.2485
6.3500 14.5608
