#
# Molecular Hydrogen first electronic state vibrational levels
#
# Source: Sharp 1971, Atomic Data, 2, 119
#
# v - vibrational quantum number
# eV - potential energy in electron volts
# Rmin = minimum interproton distance in Angstroms
# Rmax = maximum interproton distance in Angstroms
#
v  eV      Rmin   Rmax
 0 11.1839 1.1014 1.5462 
 1 11.3474 0.9932 1.7769
 2 11.5063 0.9317 1.9547
 3 11.6609 0.8878 2.1123
 4 11.8113 0.8541 2.2583
 5 11.9576 0.8264 2.3967
 6 12.0999 0.8034 2.5304
 7 12.2362 0.7640 2.6612
 8 12.3725 0.7668 2.7891
 9 12.5031 0.7513 2.9151
10 12.6298 0.7375 3.0401
11 12.7528 0.7250 3.1646
12 12.8722 0.7136 3.2889
13 12.9880 0.7034 3.4133
14 13.1003 0.6941 3.5381
15 13.2091 0.6855 3.6643
16 13.3144 0.6775 3.7914
17 13.4163 0.6700 3.9200
18 13.5148 0.6630 4.0503
19 13.6101 0.6564 4.1813
20 13.7023 0.6504 4.3146
21 13.7913 0.6448 4.4499
22 13.8773 0.6397 4.5874
23 13.9603 0.6346 4.7277
24 14.0400 0.6296 4.8724
25 14.1168 0.6249 5.0200
26 14.1904 0.6201 5.1728
27 14.2608 0.6156 5.3316
28 14.3280 0.6114 5.4988
29 14.3915 0.6074 5.6770
30 14.4513 0.6035 5.8703
31 14.5066 0.6001 6.0894
32 14.5567 0.5973 6.3449
33 14.6007 0.5957 6.6614
34 14.6370 0.5937 7.1121
35 14.6613 0.5912 7.9207
