#
# Coma Cluster - NuSTAR X-ray Spectrum
#
# Source: Gastaldelo et al. 2015, ApJ, 800, 139
#
# Original data courtesy of Fabio Gastaldello, INAF Iilan
#
# Energy - energy in keV
# Err_Energy - error in keV
# Counts - count rate/energy in counts/s/keV
# Err_Counts - error in counts
# Model_COUNTS - model counts
#
Energy Err_Energy Counts     Err_Counts     Model_COUNTS
3.02 1.99999809E-2 0.28023052 1.17161898E-2 0.26179421
3.0599999 1.99999809E-2 0.28012618 1.17290271E-2 0.26992881
3.0999999 1.99999809E-2 0.30059594 1.21195037E-2 0.27802849
3.1399999 2.00001001E-2 0.29098257 1.19583234E-2 0.28597829
3.1800001 1.99999809E-2 0.31459084 1.24077061E-2 0.29356164
3.22 1.99999809E-2 0.30713865 1.23046003E-2 0.300982
3.26 1.99999809E-2 0.33127269 1.27656078E-2 0.30788329
3.3 1.99999809E-2 0.33292079 1.28018055E-2 0.31461385
3.3399999 1.99999809E-2 0.3367835 1.29016573E-2 0.32138786
3.3800001 2.00001001E-2 0.34484625 1.30674699E-2 0.32708216
3.4200001 1.99999809E-2 0.3364591 1.29258251E-2 0.33227175
3.46 1.99999809E-2 0.34628078 1.31103843E-2 0.33687779
3.5 1.99999809E-2 0.33155137 1.28626386E-2 0.34138685
3.54 1.99999809E-2 0.34390947 1.30833602E-2 0.34470326
3.5799999 1.99999809E-2 0.35011902 1.31805008E-2 0.34758139
3.6199999 2.00001001E-2 0.35978419 1.33425463E-2 0.34976453
3.6600001 1.99999809E-2 0.36162063 1.33499E-2 0.35113028
3.7 1.99999809E-2 0.35446706 1.321116E-2 0.3525165
3.74 1.99999809E-2 0.35841373 1.32649904E-2 0.35362956
3.78 1.99999809E-2 0.35244596 1.31409671E-2 0.35443333
3.8199999 1.99999809E-2 0.35043564 1.30901542E-2 0.355176
3.8600001 2.00001001E-2 0.37149301 1.34332525E-2 0.35666108
3.9000001 1.99999809E-2 0.36180359 1.32568981E-2 0.35726967
3.9400001 1.99999809E-2 0.36406565 1.32720144E-2 0.35803026
3.98 1.99999809E-2 0.377303 1.34859579E-2 0.35951397
4.02 1.99999809E-2 0.36588261 1.32871503E-2 0.36120474
4.0599999 1.99999809E-2 0.36071447 1.31866755E-2 0.36236989
4.0999999 1.99999809E-2 0.35350645 1.3050219E-2 0.36320999
4.1399999 1.99999809E-2 0.3742204 1.34020085E-2 0.36401203
4.1799998 1.99999809E-2 0.36919257 1.33137908E-2 0.3644363
4.2199998 1.99999809E-2 0.35548618 1.30690988E-2 0.36443847
4.2600002 2.00002193E-2 0.36730695 1.32708596E-2 0.36358371
4.3000002 1.99999809E-2 0.36789116 1.32752527E-2 0.36247686
4.3400002 1.99999809E-2 0.3652387 1.3228816E-2 0.36099276
4.3800001 1.99999809E-2 0.34614682 1.28960693E-2 0.35929275
4.4200001 1.99999809E-2 0.3557936 1.3049623E-2 0.35718924
4.46 1.99999809E-2 0.35762784 1.30849266E-2 0.35515371
4.5 1.99999809E-2 0.33347014 1.26557453E-2 0.35320464
4.54 1.99999809E-2 0.34979346 1.29433461E-2 0.35094792
4.5799999 1.99999809E-2 0.33447379 1.26759028E-2 0.34851247
4.6199999 1.99999809E-2 0.33922321 1.2752099E-2 0.34622747
4.6599998 1.99999809E-2 0.34994394 1.29354335E-2 0.34469646
4.6999998 1.99999809E-2 0.33969924 1.27562862E-2 0.34288457
4.7399998 2.00002193E-2 0.34350517 1.28239002E-2 0.34099805
4.7800002 1.99999809E-2 0.32270044 1.24436039E-2 0.33933735
4.8200002 1.99999809E-2 0.32843113 1.25499852E-2 0.33719698
4.8600001 1.99999809E-2 0.33057857 1.25907622E-2 0.33618495
4.9000001 1.99999809E-2 0.33050773 1.25866961E-2 0.33402666
4.9400001 1.99999809E-2 0.34523121 1.28439693E-2 0.33215693
4.98 1.99999809E-2 0.32746616 1.25338696E-2 0.33085498
5.02 1.99999809E-2 0.34133658 1.27682602E-2 0.32913628
5.0599999 1.99999809E-2 0.34040082 1.27600152E-2 0.32757771
5.0999999 1.99999809E-2 0.3182196 1.23527497E-2 0.32562047
5.1399999 1.99999809E-2 0.31598365 1.2311317E-2 0.32374129
5.1799998 1.99999809E-2 0.32276618 1.2430964E-2 0.32194376
5.2199998 1.99999809E-2 0.31630638 1.2315697E-2 0.32028142
5.2600002 2.00002193E-2 0.31743419 1.23485737E-2 0.31830651
5.3000002 1.99999809E-2 0.30374423 1.20806918E-2 0.3166309
5.3400002 1.99999809E-2 0.30271462 1.20681217E-2 0.31487134
5.3800001 1.99999809E-2 0.31771323 1.23403305E-2 0.31344825
5.4200001 1.99999809E-2 0.31222066 1.22404015E-2 0.31197751
5.46 1.99999809E-2 0.28577751 1.17414296E-2 0.31030712
5.5 1.99999809E-2 0.2984705 1.19827958E-2 0.30901402
5.54 1.99999809E-2 0.29443213 1.1905604E-2 0.30720532
5.5799999 1.99999809E-2 0.29937515 1.19866468E-2 0.30571929
5.6199999 1.99999809E-2 0.29829818 1.19657004E-2 0.30401623
5.6599998 1.99999809E-2 0.29682314 1.19355395E-2 0.30203143
5.6999998 1.99999809E-2 0.30631593 1.21100638E-2 0.30067816
5.7399998 2.00002193E-2 0.29217514 1.18451947E-2 0.29922119
5.7800002 1.99999809E-2 0.29645786 1.19228102E-2 0.29719526
5.8200002 1.99999809E-2 0.29451042 1.18753882E-2 0.29526326
5.8600001 1.99999809E-2 0.29316282 1.18538728E-2 0.29355842
5.9000001 1.99999809E-2 0.28707707 1.1732446E-2 0.29178551
5.9400001 1.99999809E-2 0.28626403 1.17149558E-2 0.29004189
5.98 1.99999809E-2 0.29304686 1.18363537E-2 0.28781989
6.02 1.99999809E-2 0.29666466 1.19097037E-2 0.28643987
6.0599999 1.99999809E-2 0.28257188 1.16271703E-2 0.28516015
6.0999999 1.99999809E-2 0.28164876 1.16139194E-2 0.28376657
6.1399999 1.99999809E-2 0.29861766 1.19439578E-2 0.28353512
6.1799998 1.99999809E-2 0.28373754 1.16531458E-2 0.28405517
6.2199998 1.99999809E-2 0.26820534 1.13464389E-2 0.28557354
6.2600002 2.00002193E-2 0.28955728 1.17537873E-2 0.28838921
6.3000002 1.99999809E-2 0.2825872 1.16271591E-2 0.29310891
6.3400002 1.99999809E-2 0.28740901 1.17191086E-2 0.29943922
6.3800001 1.99999809E-2 0.29574347 1.18752066E-2 0.30632246
6.4200001 1.99999809E-2 0.30391416 1.20294495E-2 0.31345126
6.46 1.99999809E-2 0.29406932 1.18448455E-2 0.3195996
6.5 1.99999809E-2 0.31705314 1.22689605E-2 0.32300368
6.54 1.99999809E-2 0.32218716 1.23644862E-2 0.323015
6.5799999 1.99999809E-2 0.32013881 1.23273851E-2 0.32017058
6.6199999 1.99999809E-2 0.32732603 1.2455143E-2 0.31551442
6.6599998 1.99999809E-2 0.31922263 1.23064937E-2 0.30963182
6.6999998 1.99999809E-2 0.31462187 1.22147724E-2 0.30295321
6.7399998 2.00002193E-2 0.31596875 1.22437784E-2 0.29552591
6.7800002 1.99999809E-2 0.28908756 1.17365019E-2 0.28806558
6.8200002 1.99999809E-2 0.29034859 1.17580965E-2 0.28083852
6.8600001 1.99999809E-2 0.2741963 1.14362696E-2 0.27179745
6.9000001 1.99999809E-2 0.27011886 1.13646714E-2 0.26311985
6.9400001 1.99999809E-2 0.2675001 1.13151306E-2 0.25385457
6.98 1.99999809E-2 0.24666469 1.08865304E-2 0.2455374
7.02 1.99999809E-2 0.23599128 1.06582949E-2 0.23787278
7.0599999 1.99999809E-2 0.23069878 1.05426535E-2 0.23104101
7.0999999 1.99999809E-2 0.21840899 1.02773607E-2 0.22589029
7.1399999 1.99999809E-2 0.22917312 1.05087953E-2 0.22131975
7.1799998 1.99999809E-2 0.2276392 1.04647838E-2 0.2177121
7.2199998 1.99999809E-2 0.21454756 1.01922462E-2 0.2149622
7.2600002 2.00002193E-2 0.21656413 1.02370698E-2 0.21227141
7.3000002 1.99999809E-2 0.19947335 9.84532945E-3 0.21035901
7.3400002 1.99999809E-2 0.20625997 1.00052729E-2 0.2085056
7.3800001 1.99999809E-2 0.19629705 9.76680592E-3 0.20714627
7.4400001 3.99999619E-2 0.19898763 6.9523342E-3 0.20534115
7.5 1.99999809E-2 0.20837393 1.00458972E-2 0.20403118
7.5599999 3.99999619E-2 0.19172509 6.83374424E-3 0.20320939
7.6199999 1.99999809E-2 0.21216935 1.012694E-2 0.20175351
7.6599998 1.99999809E-2 0.20243321 9.90750268E-3 0.20031914
7.6999998 1.99999809E-2 0.20086867 9.86565463E-3 0.19876394
7.7399998 2.00002193E-2 0.19936857 9.8348828E-3 0.19673647
7.8000002 3.99999619E-2 0.19092266 6.81685703E-3 0.19345967
7.8600001 1.99999809E-2 0.20442891 9.94350854E-3 0.19035198
7.9200001 3.99999619E-2 0.18436646 6.69764914E-3 0.18770701
8 3.99999619E-2 0.18263854 6.66494854E-3 0.18432111
8.0799999 3.99999619E-2 0.17636584 6.55086851E-3 0.18078867
8.1599998 3.99999619E-2 0.17370746 6.49969699E-3 0.17620242
8.2399998 3.99999619E-2 0.1659832 6.36268267E-3 0.17118806
8.3199997 3.99999619E-2 0.16803765 6.39266707E-3 0.16684791
8.3999996 3.99999619E-2 0.167182 6.37662411E-3 0.16292387
8.4799995 4.00004387E-2 0.15317023 6.12067804E-3 0.15922076
8.5600004 3.99999619E-2 0.15191069 6.09346526E-3 0.15524182
8.6400003 3.99999619E-2 0.14705065 6.00044709E-3 0.15137865
8.7200003 3.99999619E-2 0.14125805 5.89084672E-3 0.14774367
8.8000002 3.99999619E-2 0.13668074 5.8010784E-3 0.14419016
8.8800001 3.99999619E-2 0.13829355 5.82307903E-3 0.14076273
8.96 3.99999619E-2 0.14378972 5.92967542E-3 0.13744794
9.04 3.99999619E-2 0.13071923 5.67414239E-3 0.13403691
9.1199999 3.99999619E-2 0.12820758 5.62416064E-3 0.13077426
9.1999998 3.99999619E-2 0.12327995 5.52104833E-3 0.12792967
9.2799997 3.99999619E-2 0.11901285 5.4298169E-3 0.12503147
9.3599997 3.99999619E-2 0.12186468 5.49074076E-3 0.12256094
9.4399996 3.99999619E-2 0.12092521 5.4625948E-3 0.11992016
9.5200005 4.00004387E-2 0.10895608 5.20611694E-3 0.1172728
9.6000004 3.99999619E-2 0.110261 5.23051433E-3 0.1145312
9.7000008 5.99999428E-2 0.10288779 4.14040731E-3 0.11118233
9.8000002 3.99999619E-2 0.10470055 5.10947593E-3 0.10754544
9.8800001 3.99999619E-2 0.10056438 5.00826817E-3 0.10436951
9.9799995 5.99999428E-2 8.97782445E-2 3.88394017E-3 0.10012068
10.1 5.99999428E-2 8.91659334E-2 3.86925135E-3 9.43468139E-2
10.219999 5.99999428E-2 9.50134397E-2 3.97932762E-3 8.83761942E-2
10.34 5.99999428E-2 8.86141881E-2 3.85003188E-3 8.32392052E-2
10.46 6.00004196E-2 7.84645453E-2 3.64681729E-3 7.93092549E-2
10.58 5.99999428E-2 7.56506622E-2 3.5824033E-3 7.63821751E-2
10.700001 5.99999428E-2 7.65732154E-2 3.59975547E-3 7.392928E-2
10.82 5.99999428E-2 7.53377229E-2 3.56962695E-3 7.16368854E-2
10.940001 5.99999428E-2 7.16318265E-2 3.48754646E-3 6.94486052E-2
11.08 7.99999237E-2 6.59172088E-2 2.91213975E-3 6.66686147E-2
11.24 7.99999237E-2 6.12688735E-2 2.81838048E-3 6.30274191E-2
11.4 7.99999237E-2 5.73511422E-2 2.73429765E-3 5.85876778E-2
11.58 0.10000038 5.05193025E-2 2.31592311E-3 5.31568602E-2
11.780001 9.99999046E-2 4.94635627E-2 2.28918879E-3 4.80402112E-2
11.98 9.99999046E-2 4.66412902E-2 2.23126472E-3 4.44707014E-2
12.2 0.11999989 4.18741331E-2 1.94181316E-3 4.17804383E-2
12.42 0.10000038 4.40698788E-2 2.1697788E-3 3.96866277E-2
12.64 0.11999989 3.69298272E-2 1.83650118E-3 3.76366563E-2
12.88 0.11999989 3.75430062E-2 1.84568716E-3 3.52673978E-2
13.16 0.15999985 3.00230533E-2 1.45664066E-3 3.22464779E-2
13.48 0.16000032 2.91076843E-2 1.43167283E-3 2.87663825E-2
13.82 0.17999983 2.57675014E-2 1.2821086E-3 2.58691292E-2
14.2 0.19999981 2.43840739E-2 1.18589203E-3 2.33472604E-2
14.639999 0.24000025 2.12292094E-2 1.02442584E-3 2.07796581E-2
15.139999 0.25999975 1.91724971E-2 9.42133134E-4 1.80457272E-2
15.72 0.32000065 1.63371898E-2 7.9912832E-4 1.54750301E-2
16.42 0.37999916 1.38445124E-2 6.89531676E-4 1.28779579E-2
17.32 0.52000046 1.07092606E-2 5.35261934E-4 1.00744413E-2
18.720001 0.88000011 7.40590319E-3 3.68199777E-4 7.0091146E-3
21.400002 1.8000002 3.7162446E-3 2.25392476E-4 3.61384801E-3
24.76 1.5599995 1.38454523E-3 2.48105818E-4 1.59889273E-3
27.9 1.5799999 5.557806E-4 2.40939509E-4 7.06000719E-4
29.700001 0.22000027 1.88955397E-4 5.93021163E-4 4.66823287E-4
