#
# HST STIS spectrum of 3C273 (z=0.158) from William Keel, Univ of Alabama
#
# lam is observed wavelengths in Angstroms
# flux is arbitrary units
#
lam          flux
1145.4301    0.56571
1145.4425    0.63645
1145.4550    0.56571
1145.4673    0.55023
1145.4797    0.56571
1145.4922    0.53727
1145.5046    0.56571
1145.5170    0.53727
1145.5294    0.53727
1145.5419    0.53727
1145.5543    0.53727
1145.5667    0.54317
1145.5791    0.54317
1145.5916    0.58988
1145.6040    0.58988
1145.6165    0.58988
1145.6288    0.60254
1145.6412    0.58988
1145.6537    0.60335
1145.6661    0.60335
1145.6785    0.63654
1145.6909    0.72603
1145.7034    0.72603
1145.7158    0.64000
1145.7283    0.63654
1145.7406    0.63654
1145.7531    0.64000
1145.7655    0.64000
1145.7780    0.64000
1145.7904    0.64000
1145.8027    0.64000
1145.8152    0.64000
1145.8276    0.56483
1145.8401    0.56483
1145.8525    0.56483
1145.8649    0.54089
1145.8773    0.68062
1145.8898    0.54089
1145.9022    0.54089
1145.9147    0.68062
1145.9270    0.52957
1145.9395    0.66086
1145.9519    0.52957
1145.9644    0.52957
1145.9768    0.52957
1145.9891    0.52957
1146.0016    0.52957
1146.0140    0.52077
1146.0265    0.52957
1146.0389    0.54232
1146.0513    0.52077
1146.0637    0.54232
1146.0762    0.52077
1146.0886    0.54232
1146.1011    0.56333
1146.1135    0.56333
1146.1259    0.56333
1146.1383    0.56333
1146.1508    0.56333
1146.1632    0.56333
1146.1757    0.56118
1146.1880    0.56333
1146.2004    0.56333
1146.2129    0.56333
1146.2253    0.56118
1146.2378    0.54372
1146.2502    0.56118
1146.2626    0.56118
1146.2750    0.57495
1146.2875    0.57495
1146.2999    0.52242
1146.3124    0.52242
1146.3248    0.52144
1146.3372    0.52144
1146.3496    0.52144
1146.3621    0.52242
1146.3745    0.52242
1146.3870    0.52242
1146.3994    0.52242
1146.4119    0.52144
1146.4242    0.52242
1146.4366    0.46251
1146.4491    0.59772
1146.4615    0.59772
1146.4740    0.46251
1146.4865    0.58259
1146.4988    0.46251
1146.5112    0.56127
1146.5237    0.46251
1146.5361    0.46251
1146.5486    0.46251
1146.5610    0.46251
1146.5735    0.56127
1146.5859    0.56127
1146.5983    0.56127
1146.6107    0.56333
1146.6232    0.56127
1146.6356    0.56333
1146.6481    0.58835
1146.6605    0.58835
1146.6730    0.56333
1146.6853    0.56333
1146.6978    0.47658
1146.7102    0.47658
1146.7227    0.47658
1146.7351    0.50771
1146.7476    0.47931
1146.7600    0.50771
1146.7725    0.50771
1146.7848    0.50771
1146.7972    0.52177
1146.8097    0.52177
1146.8221    0.52231
1146.8346    0.52779
1146.8470    0.52684
1146.8595    0.52779
1146.8719    0.52684
1146.8844    0.52684
1146.8967    0.52684
1146.9092    0.52684
1146.9216    0.52684
1146.9341    0.52779
1146.9465    0.53563
1146.9590    0.52779
1146.9714    0.52684
1146.9839    0.50121
1146.9963    0.40883
1147.0088    0.49368
1147.0211    0.49368
1147.0336    0.40883
1147.0460    0.36996
1147.0585    0.36996
1147.0709    0.36996
1147.0834    0.36996
1147.0958    0.37005
1147.1083    0.40883
1147.1207    0.43963
1147.1332    0.43963
1147.1455    0.37504
1147.1580    0.43963
1147.1704    0.46014
1147.1829    0.48344
1147.1953    0.48344
1147.2078    0.48344
1147.2202    0.48344
1147.2327    0.46958
1147.2451    0.46958
1147.2576    0.46958
1147.2700    0.46958
1147.2825    0.49422
1147.2949    0.49582
1147.3073    0.56441
1147.3197    0.46958
1147.3322    0.46958
1147.3446    0.50386
1147.3571    0.50386
1147.3695    0.66900
1147.3820    0.50386
1147.3944    0.50386
1147.4069    0.50386
1147.4193    0.50386
1147.4318    0.45250
1147.4442    0.39483
1147.4567    0.39483
1147.4691    0.39483
1147.4816    0.39483
1147.4940    0.45250
1147.5063    0.45250
1147.5188    0.47772
1147.5312    0.51966
1147.5437    0.56940
1147.5562    0.51966
1147.5686    0.51966
1147.5811    0.56940
1147.5935    0.57229
1147.6060    0.56940
1147.6184    0.53861
1147.6309    0.53861
1147.6433    0.53861
1147.6558    0.53861
1147.6682    0.50665
1147.6807    0.50665
1147.6931    0.52862
1147.7056    0.52862
1147.7180    0.50665
1147.7305    0.50665
1147.7429    0.49819
1147.7554    0.49819
1147.7678    0.49819
1147.7803    0.49819
1147.7927    0.43622
1147.8051    0.43622
1147.8175    0.43622
1147.8300    0.42876
1147.8424    0.42876
1147.8549    0.42876
1147.8673    0.42876
1147.8798    0.49242
1147.8922    0.49242
1147.9047    0.42391
1147.9171    0.47213
1147.9296    0.49242
1147.9420    0.49242
1147.9545    0.47213
1147.9669    0.49242
1147.9794    0.49242
1147.9918    0.47213
1148.0043    0.42924
1148.0167    0.38508
1148.0914    0.38508
1148.1039    0.42924
1148.1163    0.41044
1148.1288    0.38508
1148.1412    0.38508
1148.1537    0.38508
1148.1661    0.38508
1148.1786    0.38508
1148.1910    0.38861
1148.2035    0.41044
1148.2159    0.43420
1148.2284    0.49004
1148.2408    0.49004
1148.2533    0.49004
1148.2657    0.49004
1148.2782    0.49004
1148.2906    0.45175
1148.3031    0.45175
1148.3156    0.47793
1148.3280    0.48052
1148.3405    0.47793
1148.3529    0.47793
1148.3654    0.45175
1148.3778    0.44835
1148.3903    0.41158
1148.4027    0.44835
1148.4153    0.47793
1148.4277    0.48052
1148.4402    0.54875
1148.4526    0.54875
1148.4651    0.44835
1148.4775    0.54875
1148.4900    0.50858
1148.5024    0.50858
1148.5149    0.50858
1148.5273    0.50858
1148.5398    0.48182
1148.5522    0.48182
1148.5647    0.48182
1148.5771    0.48061
1148.5896    0.48061
1148.6021    0.48061
1148.6145    0.48061
1148.6270    0.44032
1148.6394    0.42819
1148.6519    0.42819
1148.6643    0.37909
1148.6768    0.35401
1148.6892    0.35401
1148.7017    0.32296
1148.7142    0.33563
1148.7267    0.35401
1148.7391    0.37909
1148.7516    0.37909
1148.7640    0.37909
1148.7765    0.44594
1148.7889    0.44594
1148.8014    0.45344
1148.8138    0.45344
1148.8263    0.45344
1148.8387    0.45344
1148.8512    0.45344
1148.8636    0.44594
1148.8761    0.45344
1148.8885    0.48057
1148.9010    0.48057
1148.9136    0.48847
1148.9260    0.48847
1148.9385    0.48847
1148.9509    0.48847
1148.9634    0.44445
1148.9758    0.44445
1148.9883    0.48847
1149.0007    0.59036
1149.0132    0.48847
1149.0256    0.44445
1149.0381    0.44445
1149.0505    0.44445
1149.0630    0.53439
1149.0756    0.44445
1149.0880    0.44081
1149.1005    0.53439
1149.1129    0.53439
1149.1254    0.44081
1149.1378    0.44081
1149.1503    0.48033
1149.1627    0.52438
1149.1752    0.52438
1149.1876    0.48033
1149.2002    0.42378
1149.2126    0.39532
1149.2251    0.42487
1149.2375    0.42487
1149.2500    0.42487
1149.2625    0.44553
1149.2749    0.42487
1149.2874    0.39532
1149.2998    0.39532
1149.3123    0.39532
1149.3248    0.40836
1149.3373    0.40836
1149.3497    0.40836
1149.3622    0.40836
1149.3746    0.40265
1149.3871    0.40836
1149.3995    0.40836
1149.4120    0.40836
1149.4244    0.42526
1149.4370    0.43613
1149.4495    0.42526
1149.4619    0.42507
1149.4744    0.42526
1149.4868    0.42526
1149.4993    0.42507
1149.5117    0.42526
1149.5242    0.42526
1149.5367    0.42526
1149.5492    0.42526
1149.5616    0.42507
1149.5741    0.39880
1149.5865    0.38888
1149.5990    0.39880
1149.6115    0.38888
1149.6240    0.38888
1149.6365    0.39880
1149.6489    0.38888
1149.6614    0.38888
1149.6738    0.38888
1149.6863    0.35011
1149.6987    0.39880
1149.7113    0.40838
1149.7238    0.43417
1149.7362    0.43417
1149.7487    0.43417
1149.7611    0.43569
1149.7736    0.44989
1149.7860    0.44989
1149.7986    0.46700
1149.8110    0.46700
1149.8235    0.47500
1149.8359    0.46700
1149.8484    0.44425
1149.8608    0.44425
1149.8733    0.44425
1149.8859    0.44425
1149.8983    0.44425
1149.9108    0.44425
1149.9232    0.42867
1149.9357    0.42867
1149.9481    0.45210
1149.9607    0.42867
1149.9731    0.42867
1149.9856    0.42867
1149.9980    0.42867
1150.0105    0.45210
1150.0229    0.45210
1150.0355    0.42867
1150.0480    0.41720
1150.0604    0.40261
1150.0729    0.36908
1150.0853    0.34779
1150.0979    0.34779
1150.1104    0.36908
1150.1228    0.37049
1150.1353    0.36908
1150.1477    0.36908
1150.1602    0.36908
1150.1727    0.37049
1150.1852    0.37049
1150.1976    0.37049
1150.2101    0.37056
1150.2225    0.37056
1150.2351    0.37056
1150.2476    0.37056
1150.2600    0.36082
1150.2725    0.37056
1150.2849    0.37056
1150.2975    0.37056
1150.3099    0.37056
1150.3224    0.37056
1150.3348    0.37056
1150.3473    0.35894
1150.3599    0.40540
1150.3723    0.35447
1150.3848    0.40540
1150.3972    0.40540
1150.4097    0.35447
1150.4222    0.35447
1150.4347    0.35447
1150.4471    0.35447
1150.4596    0.34396
1150.4720    0.34396
1150.4846    0.34396
1150.4971    0.34396
1150.5095    0.38736
1150.5220    0.38736
1150.5344    0.38736
1150.5470    0.38736
1150.5594    0.38736
1150.5719    0.38736
1150.5844    0.38335
1150.5969    0.38335
1150.6094    0.38335
1150.6218    0.38335
1150.6343    0.38335
1150.6469    0.36769
1150.6593    0.29051
1150.6718    0.28061
1150.6842    0.28061
1150.6967    0.28061
1150.7092    0.28061
1150.7217    0.28061
1150.7341    0.34659
1150.7466    0.34835
1150.7592    0.34835
1150.7716    0.34835
1150.7841    0.36342
1150.7965    0.39793
1150.8091    0.39793
1150.8215    0.39804
1150.8340    0.39793
1150.8464    0.38305
1150.8590    0.38305
1150.8715    0.36342
1150.8839    0.37975
1150.8964    0.37975
1150.9089    0.36055
1150.9214    0.34774
1150.9338    0.34774
1150.9463    0.32162
1150.9589    0.31002
1150.9713    0.29822
1150.9838    0.29822
1150.9962    0.29126
1151.0088    0.27613
1151.0212    0.27613
1151.0337    0.26792
1151.0461    0.26792
1151.0587    0.26792
1151.0712    0.26792
1151.0836    0.27613
1151.0961    0.27613
1151.1086    0.34018
1151.1211    0.36804
1151.1335    0.40248
1151.1461    0.40248
1151.1586    0.40260
1151.1710    0.41140
1151.1835    0.41140
1151.1960    0.41140
1151.2085    0.41140
1151.2209    0.40260
1151.2335    0.40260
1151.2460    0.38174
1151.2584    0.38174
1151.2709    0.37921
1151.2834    0.37921
1151.2959    0.37441
1151.3083    0.36282
1151.3209    0.36282
1151.3334    0.37441
1151.3458    0.37441
1151.3583    0.37441
1151.3708    0.37901
1151.3833    0.37901
1151.3958    0.36416
1151.4083    0.36416
1151.4208    0.37901
1151.4332    0.37901
1151.4457    0.42335
1151.4583    0.39229
1151.4707    0.42335
1151.4832    0.42335
1151.4957    0.40574
1151.5082    0.39229
1151.5206    0.40574
1151.5332    0.40574
1151.5457    0.40574
1151.5581    0.40574
1151.5707    0.40574
1151.5831    0.40574
1151.5956    0.44669
1151.6080    0.40574
1151.6206    0.40574
1151.6331    0.40362
1151.6455    0.40362
1151.6581    0.40362
1151.6705    0.40362
1151.6830    0.40362
1151.6956    0.37897
1151.7080    0.40362
1151.7205    0.40362
1151.7330    0.40362
1151.7455    0.37897
1151.7579    0.40890
