#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
   2  34.26806  34.57745  34.79799  35.08133  35.73653 
   3  33.43950  33.43202  33.57827  33.85705  34.69726 
   4  32.68639  32.37592  32.39290  32.60061  33.57231 
   5  32.14499  31.57626  31.43485  31.51761  32.55611 
   6  31.78522  31.01790  30.70765  30.62434  31.66228 
   7  31.56327  30.65224  30.18377  29.90736  30.88592 
   8  31.43788  30.42203  29.81895  29.35098  30.20844 
   9  31.39172  30.29868  29.57803  28.91591  29.61689 
  10  31.40207  30.25343  29.43552  28.59738  29.10223 
  11  31.45727  30.26252  29.37039  28.37886  28.68571 
  12  31.56200  30.32854  29.37975  28.25580  28.36459 
  13  31.69069  30.42499  29.42924  28.19042  28.09199 
  14  31.83237  30.54046  29.50475  28.16736  27.85803 
  15  31.99531  30.67963  29.61098  28.18936  27.67616 
  16  32.18695  30.84769  29.75214  28.26004  27.55812 
  17  32.40062  31.04046  29.92290  28.37182  27.49764 
  18  32.62208  31.24100  30.10465  28.50316  27.47144 
  19  32.86792  31.46729  30.31452  28.67019  27.49545 
  20  33.11797  31.69700  30.52818  28.84545  27.53906 
  21  33.37214  31.93118  30.74752  29.02878  27.60127 
  22  33.63183  32.17297  30.97322  29.22071  27.68104 
  23  33.89543  32.41759  31.20160  29.41717  27.77301 
  24  34.16285  32.66650  31.43422  29.61908  27.87687 
  25  34.43399  32.92112  31.67175  29.82616  27.99143 
  26  34.70735  33.17680  31.90925  30.03581  28.11227 
  27  34.98571  33.43651  32.15276  30.25012  28.24093 
  28  35.26471  33.69718  32.39599  30.46523  28.37199 
  29  35.54715  33.96174  32.64353  30.68338  28.50667 
  30  35.83295  34.23010  32.89377  30.90453  28.64350 
  31  36.11786  34.49928  33.14363  31.12475  28.77777 
  32  36.40604  34.76924  33.39611  31.34629  28.91211 
  33  36.69741  35.04283  33.65264  31.57024  29.04806 
  34  36.99054  35.31855  33.91018  31.79465  29.18459 
  35  37.28673  35.59635  34.17016  32.02187  29.32201 
  36  37.58191  35.87617  34.43109  32.24748  29.45929 
  37  37.87743  36.15384  34.69150  32.47153  29.59561 
  38  38.17591  36.43624  34.95569  32.69862  29.73483 
  39  38.47726  36.71920  35.22215  32.92719  29.87725 
  40  38.77757  37.00270  35.48803  33.15419  30.01949 
  41  39.07941  37.28807  35.75472  33.38113  30.16405 
  42  39.38020  37.57127  36.02083  33.60506  30.30676 
  43  39.67997  37.85499  36.28774  33.83046  30.44930 
  44  39.97874  38.13791  36.55270  34.05143  30.58856 
  45  40.28151  38.42395  36.82119  34.27681  30.72979 
  46  40.58571  38.71175  37.09178  34.50507  30.87119 
  47  40.89009  38.99872  37.36174  34.73327  31.00952 
  48  41.19345  39.28613  37.63110  34.96141  31.14306 
  49  41.49699  39.57398  37.90119  35.18806  31.27219 
  50  41.80431  39.86477  38.17329  35.42033  31.39984 
  51  42.11057  40.15594  38.44606  35.65249  31.52206 
  52  42.42051  40.44997  38.72079  35.89011  31.64332 
  53  42.72821  40.74187  38.99359  36.12478  31.75689 
  54  43.03371  41.03048  39.26321  36.35657  31.86220 
  55  43.33820  41.32070  39.53353  36.58961  31.96404 
  56  43.64745  41.61250  39.80703  36.82662  32.06712 
  57  43.95794  41.90704  40.08242  37.06481  32.16831 
  58  44.26963  42.20427  40.35963  37.30550  32.27073 
  59  44.58251  42.50059  40.63742  37.54730  32.36974 
  60  44.89432  42.79720  40.91577  37.78756  32.46844 
  61  45.21062  43.09756  41.19709  38.03288  32.56993 
  62  45.52472  43.39470  41.47650  38.27401  32.66803 
  63  45.83667  43.69096  41.75404  38.51363  32.76278 
  64  46.15301  43.99091  42.03451  38.75694  32.86335 
  65  46.46612  44.28770  42.31430  38.99872  32.96362 
  66  46.78247  44.58699  42.59460  39.24156  33.06660 
  67  47.09883  44.88652  42.87657  39.48417  33.17379 
  68  47.41729  45.18850  43.16133  39.73034  33.28814 
  69  47.73782  45.49176  43.44652  39.97874  33.40808 
