#
# QSO damped Ly-alpha (DLA) System
# Background QSO J021741.8-370100 (z_em=2.910)
# DLA redshift: z_abs=2.429
#
# Source: ESO UVES Database
# Table : spectrum_qso_34.424-37.017.tbl
#
wave      flux_norm     model
4000.020  8.70365e-01   9.9511177225806036e-01
4000.047  9.67158e-01   9.9338659777686622e-01
4000.075  1.01920e+00   9.9278573161882522e-01
4000.102  1.03752e+00   9.9268063672242046e-01
4000.129  1.03068e+00   9.9266957074441697e-01
4000.156  1.05550e+00   9.9266685422486278e-01
4000.183  1.04721e+00   9.9266346770234082e-01
4000.210  9.16665e-01   9.9266111429092985e-01
4000.237  8.69628e-01   9.9265875974796591e-01
4000.264  9.42301e-01   9.9265640407272449e-01
4000.291  1.01925e+00   9.9265404726414863e-01
4000.318  1.04293e+00   9.9265168932091019e-01
4000.345  1.03209e+00   9.9264933025217872e-01
4000.373  9.89207e-01   9.9264697003521896e-01
4000.400  9.85892e-01   9.9264460868201498e-01
4000.427  1.05667e+00   9.9264224620423924e-01
4000.454  1.08295e+00   9.9263988258876290e-01
4000.481  1.03931e+00   9.9263751782214449e-01
4000.508  1.02018e+00   9.9263515192566365e-01
4000.535  1.01995e+00   9.9263278488869355e-01
4000.562  1.01965e+00   9.9263041671110464e-01
4000.589  1.00053e+00   9.9262804739249832e-01
4000.616  9.98274e-01   9.9262567693214265e-01
4000.644  1.00213e+00   9.9262330532897192e-01
4000.671  8.25600e-01   9.9262093258165107e-01
4000.698  7.52912e-01   9.9261855869934235e-01
4000.725  7.89194e-01   9.9261618365930260e-01
4000.752  8.47373e-01   9.9261380747350880e-01
4000.779  8.84666e-01   9.9261143015362474e-01
4000.806  8.31773e-01   9.9260905168651470e-01
4000.833  6.96206e-01   9.9260667205872943e-01
4000.860  7.13833e-01   9.9260429129154115e-01
4000.887  7.58171e-01   9.9260190937431436e-01
4000.915  7.60203e-01   9.9259952630691295e-01
4000.942  7.46090e-01   9.9259714208893080e-01
4000.969  6.89065e-01   9.9259475671962727e-01
4000.996  5.81092e-01   9.9259237019792990e-01
4001.023  6.07841e-01   9.9258998252249531e-01
4001.050  6.49584e-01   9.9258759370247862e-01
4001.077  6.84298e-01   9.9258520371512882e-01
4001.104  7.04673e-01   9.9258281257241443e-01
4001.131  6.49011e-01   9.9258042028599280e-01
4001.158  6.66178e-01   9.9257802684271923e-01
4001.185  6.98951e-01   9.9257563222913803e-01
4001.213  6.91079e-01   9.9257323646651174e-01
4001.240  7.38886e-01   9.9257083954419956e-01
4001.267  7.83705e-01   9.9256844146205636e-01
4001.294  7.84856e-01   9.9256604221966782e-01
4001.321  7.67093e-01   9.9256364181628665e-01
4001.348  8.63933e-01   9.9256124025083137e-01
4001.375  9.76810e-01   9.9255883752195195e-01
4001.402  9.55918e-01   9.9255643363879420e-01
4001.429  9.16456e-01   9.9255402857860142e-01
4001.456  8.98770e-01   9.9255162235333394e-01
4001.484  9.71072e-01   9.9254921497463866e-01
4001.511  9.84872e-01   9.9254680642936588e-01
4001.538  9.34806e-01   9.9254439670405170e-01
4001.565  8.95425e-01   9.9254198581995023e-01
4001.592  9.80831e-01   9.9253957376641255e-01
4001.619  1.01333e+00   9.9253716054328611e-01
4001.646  9.88708e-01   9.9253474615014881e-01
4001.673  9.96121e-01   9.9253233058624513e-01
4001.700  9.55662e-01   9.9252991385048639e-01
4001.727  9.37398e-01   9.9252749594151390e-01
4001.755  9.62508e-01   9.9252507686846636e-01
4001.782  9.62900e-01   9.9252265660857875e-01
4001.809  9.69590e-01   9.9252023517380306e-01
4001.836  9.13828e-01   9.9251781257577942e-01
4001.863  8.77201e-01   9.9251538880134837e-01
4001.890  8.83783e-01   9.9251296383703991e-01
4001.917  9.30332e-01   9.9251053770409958e-01
4001.944  9.22523e-01   9.9250811039187026e-01
4001.971  8.96777e-01   9.9250568190019184e-01
4001.998  9.50071e-01   9.9250325222863400e-01
4002.025  9.73810e-01   9.9250082137643347e-01
4002.053  9.32523e-01   9.9249838934249357e-01
4002.080  8.91131e-01   9.9249595612544761e-01
4002.107  9.06646e-01   9.9249352173442507e-01
4002.134  9.19297e-01   9.9249108614665493e-01
4002.161  9.73682e-01   9.9248864937408376e-01
4002.188  1.04477e+00   9.9248621142838933e-01
4002.215  1.02082e+00   9.9248377229674123e-01
4002.242  9.34895e-01   9.9248133196626309e-01
4002.269  9.09345e-01   9.9247889044829440e-01
4002.296  9.48937e-01   9.9247644775412758e-01
4002.324  9.97791e-01   9.9247400387054685e-01
4002.351  9.54885e-01   9.9247155878406701e-01
4002.378  9.38911e-01   9.9246911251587377e-01
4002.405  9.73288e-01   9.9246666505496461e-01
4002.432  9.73510e-01   9.9246421640056726e-01
4002.459  9.74157e-01   9.9246176656213869e-01
4002.486  9.47654e-01   9.9245931551694633e-01
4002.513  9.91038e-01   9.9245686327693161e-01
4002.540  1.05934e+00   9.9245440985376432e-01
4002.567  1.04202e+00   9.9245195523460639e-01
4002.595  1.00444e+00   9.9244949940657268e-01
4002.622  1.07531e+00   9.9244704238099468e-01
4002.649  1.02075e+00   9.9244458416915715e-01
4002.676  9.79840e-01   9.9244212475783600e-01
4002.703  1.08693e+00   9.9243966413353990e-01
4002.730  1.19038e+00   9.9243720231749455e-01
4002.757  1.15426e+00   9.9243473929902482e-01
4002.784  1.08710e+00   9.9243227507795162e-01
4002.811  9.91501e-01   9.9242980965382577e-01
4002.838  1.01787e+00   9.9242734302586533e-01
4002.865  1.07284e+00   9.9242487519295541e-01
4002.893  1.07255e+00   9.9242240615370980e-01
4002.920  1.01411e+00   9.9241993591723920e-01
4002.947  1.00722e+00   9.9241746446075496e-01
4002.974  1.07358e+00   9.9241499179618009e-01
4003.001  1.10339e+00   9.9241251793512719e-01
4003.028  1.09702e+00   9.9241004286441070e-01
4003.055  1.11668e+00   9.9240756657053530e-01
