#
# Keck ESI Spectrum of Quasar J1306+0356, z=6.016
#
# Source: Fan et al. 2001, AJ, 122, 2833
#         provided by the authors
#
# Wavelengths: 3901-10930 Angstroms
#
# wave - wavelength in Agnstroms
# flam - Flux in scaled F-lambda units
# sig - uncertainty on flam
wave          flam     sig
3901.90153953 -5.75946 10.1969
3905.70065098 -1.99572 8.91989
3909.49976243 2.03246 7.24584
3913.29887389 4.87167 5.90583
3917.09798534 4.67002 4.88752
3920.89709679 0.777834 4.10119
3924.69620824 -1.55811 3.46264
3928.4953197 -1.40839 2.95408
3932.29443115 -0.956629 2.54771
3936.0935426 -2.84812 2.22201
3939.89265405 -3.41423 1.95891
3943.69176551 -2.20259 1.72765
3947.49087696 0.432897 1.52922
3951.28998841 3.00744 1.3579
3955.08909986 2.01067 1.21807
3958.88821132 -0.769637 1.10081
3962.68732277 -2.13091 1.00718
3966.48643422 -0.108533 0.920521
3970.28554567 1.80758 0.844909
3974.08465712 0.918846 0.775129
3977.88376858 0.404431 0.714869
3981.68288003 0.908124 0.665235
3985.48199148 0.959076 0.617389
3989.28110293 0.183249 0.575136
3993.08021439 -0.944906 0.536102
3996.87932584 -0.99776 0.501222
4000.67843729 -0.758267 0.470708
4004.47754874 -0.8443 0.438508
4008.2766602 -0.109664 0.41372
4012.07577165 0.910549 0.388763
4015.8748831 1.05611 0.368988
4019.67399455 1.01683 0.347067
4023.47310601 1.0825 0.328309
4027.27221746 0.46308 0.311581
4031.07132891 0.154532 0.297075
4034.87044036 0.315454 0.284099
4038.66955181 -0.201612 0.272982
4042.46866327 -0.4004 0.261001
4046.26777472 0.239256 0.249727
4050.06688617 0.567997 0.2372
4053.86599762 0.346022 0.228106
4057.66510908 -0.0874227 0.219822
4061.46422053 -0.113942 0.214331
4065.26333198 0.140228 0.208124
4069.06244343 0.155737 0.201799
4072.86155489 0.414017 0.195077
4076.66066634 0.529803 0.189016
4080.45977779 0.156129 0.183677
4084.25888924 0.0102349 0.178862
4088.0580007 -0.086843 0.173985
4091.85711215 -0.276253 0.169518
4095.6562236 -0.108851 0.164941
4099.45533505 0.18275 0.16146
4103.2544465 0.188304 0.157605
4107.05355796 0.0366778 0.153721
4110.85266941 -0.0527596 0.150469
4114.65178086 -0.140402 0.147675
4118.45089231 -0.189165 0.145657
4122.25000377 -0.13448 0.142859
4126.04911522 -0.0324999 0.14123
4129.84822667 0.120443 0.139109
4133.64733812 0.167957 0.137996
4137.44644958 -0.0402684 0.135928
4141.24556103 -0.165849 0.134549
4145.04467248 0.00776299 0.132662
4148.84378393 0.0770124 0.131064
4152.64289539 0.0557314 0.130491
4156.44200684 0.149185 0.129088
4160.24111829 0.0196081 0.128883
4164.04022974 -0.220215 0.127827
4167.83934119 -0.301368 0.128009
4171.63845265 -0.228292 0.125787
4175.4375641 0.0160635 0.12456
4179.23667555 0.248677 0.123336
4183.035787 0.158488 0.124128
4186.83489846 -0.111127 0.123916
4190.63400991 -0.120408 0.123824
4194.43312136 -0.0727467 0.123019
4198.23223281 -0.106288 0.123073
4202.03134427 -0.0975514 0.123933
4205.83045572 -0.156374 0.125578
4209.62956717 -0.0671591 0.125919
4213.42867862 0.12709 0.126143
4217.22779008 0.184437 0.126072
4221.02690153 0.197976 0.126003
4224.82601298 -0.0237241 0.125588
4228.62512443 -0.298074 0.125421
4232.42423588 -0.319873 0.125762
4236.22334734 -0.14765 0.125902
4240.02245879 0.0595353 0.125893
4243.82157024 0.0502454 0.12623
4247.62068169 -0.060628 0.125272
4251.41979315 -0.0573386 0.124332
4255.2189046 0.0045417 0.123109
4259.01801605 -0.00456094 0.122627
4262.8171275 -0.154345 0.121505
4266.61623896 -0.174195 0.119759
4270.41535041 0.062428 0.118408
4274.21446186 0.173031 0.116201
4278.01357331 0.0585645 0.114889
4281.81268477 -0.0511193 0.113182
4285.61179622 0.0605017 0.111472
4289.41090767 0.103058 0.108346
4293.21001912 0.0232935 0.105701
4297.00913057 0.137605 0.102832
4300.80824203 0.146824 0.100686
4304.60735348 -0.0516845 0.0973761
4308.40646493 -0.139217 0.0962638
4312.20557638 -0.00953001 0.0946683
4316.00468784 0.0904808 0.0922295
4319.80379929 0.0409057 0.0903445
4323.60291074 0.00651189 0.0885375
4327.40202219 -0.00788997 0.0865807
4331.20113365 0.0232764 0.0849918
4335.0002451 0.0168295 0.0829103
4338.79935655 0.0212372 0.0806767
4342.598468 0.15182 0.0776708
4346.39757945 0.122964 0.0759166
4350.19669091 -0.0441191 0.0752574
4353.99580236 -0.0503535 0.0750998
4357.79491381 0.036328 0.0737027
4361.59402526 0.0898843 0.0719307
4365.39313672 0.122296 0.0701902
4369.19224817 0.110794 0.0684474
4372.99135962 0.130802 0.0680458
4376.79047107 0.141373 0.0656218
4380.58958253 0.137081 0.064142
4384.38869398 0.153924 0.0629459
4388.18780543 0.0717964 0.0634692
4391.98691688 0.00414706 0.0634942
4395.78602834 0.0414175 0.0628459
4399.58513979 0.0656906 0.0620078
4403.38425124 0.0296449 0.0625112
4407.18336269 -0.0303377 0.0626429
4410.98247414 0.018142 0.0621635
4414.7815856 0.110186 0.060892
4418.58069705 0.0773705 0.0596729
4422.3798085 -0.0157753 0.0592448
4426.17891995 -0.0724013 0.0583923
4429.97803141 -0.0969951 0.0579284
4433.77714286 -0.0950619 0.0572167
4437.57625431 -0.0401908 0.0575808
4441.37536576 0.0529973 0.0587572
4445.17447722 0.0616034 0.0591737
4448.97358867 -0.0168393 0.0584326
4452.77270012 -0.0125021 0.0574276
4456.57181157 0.0463822 0.0567624
4460.37092303 0.0605063 0.0568769
4464.17003448 0.00816569 0.0583752
4467.96914593 -0.0957399 0.0635982
4471.76825738 -0.171007 0.0831679
4475.56736883 -0.208799 0.121732
4479.36648029 -0.920171 0.866801
4483.16559174 0.0633993 0.768589
4486.96470319 0.326113 0.682282
4490.76381464 0.230605 0.61498
4494.5629261 0.0481505 0.546704
4498.36203755 -0.437094 0.495258
4502.161149 -0.623473 0.45761
