#
# Q1422+2307 (z=3.62) - spectrum from William Keel, Univ. of Alabama
#
# lam is restframe (emitted) wavelength in Angstroms
# flux is arbitrary units
#
 lam            flux
 824.8000       41359.95
 824.9010        47488.4
 825.0020       48019.32
 825.1030       60605.77
 825.2040        67690.8
 825.3050       84332.38
 825.4060        85833.6
 825.5070       88245.63
 825.6080       86716.92
 825.7090       78533.45
 825.8100       55941.92
 825.9110        51191.1
 826.0120         71453.
 826.1130       65864.61
 826.2140       65013.31
 826.3150        83970.8
 826.4160       82346.01
 826.5170       74029.79
 826.6180        66084.3
 826.7190       65200.97
 826.8200       75773.59
 826.9210       85179.09
 827.0220       78505.99
 827.1230       39249.99
 827.2240       23020.34
 827.3250       32924.73
 827.4260       26022.78
 827.5270       2602.825
 827.6280         1756.1
 827.7290       16937.65
 827.8300       39121.84
 827.9310       76991.05
 828.0320       95641.88
 828.1330       90904.79
 828.2340       91687.45
 828.3350       91618.79
 828.4360       94731.08
 828.5370       92035.27
 828.6380       83087.45
 828.7390       70986.16
 828.8400       74157.95
 828.9410       48170.35
 829.0420       1769.831
 829.1430       1106.181
 829.2440      -2244.103
 829.3450       666.7998
 829.4460        10351.5
 829.5470       48358.01
 829.6480       77952.19
 829.7490       80872.24
 829.8500       77160.39
 829.9510       83307.15
 830.0520       35922.59
 830.1530        913.952
 830.2540      -1141.072
 830.3550      -1557.569
 830.4560       -692.537
 830.5570       13656.02
 830.6580       7220.909
 830.7590       9747.353
 830.8600       35528.98
 830.9610       46600.48
 831.0620       49932.46
 831.1630       47749.28
 831.2640       43318.85
 831.3650       74684.28
 831.4660       86515.55
 831.5670       74643.09
 831.6680       72313.45
 831.7690       71933.58
 831.8700       49767.69
 831.9710       46948.32
 832.0720       54335.43
 832.1730       70240.13
 832.2740       81174.32
 832.3750       72272.27
 832.4760       41172.29
 832.5770        35149.1
 832.6780       34636.49
 832.7790       30897.17
 832.8800       22178.19
 832.9810        27107.5
 833.0820       62802.68
 833.1830       76693.54
 833.2840       80918.02
 833.3850       76194.66
 833.4860       44096.92
 833.5870       10969.38
 833.6880       1563.871
 833.7890       680.5305
 833.8900       15587.47
 833.9910       3563.972
 834.0920       6053.801
 834.1930       36718.97
 834.2940       32027.66
 834.3950       6960.025
 834.4960       -2115.95
 834.5970      -880.1895
 834.6980       1042.105
 834.7990       -184.502
 834.9000       900.2213
 835.0010       26123.47
 835.1020       42476.71
 835.2030       55296.57
 835.3040       46998.67
 835.4050       12333.29
 835.5060      -1406.532
 835.6070      -1951.182
 835.7080      -1287.533
 835.8090       71.80395
 835.9100      -784.0748
 836.0110      -907.6509
 836.1120       -1438.57
 836.2130      -1681.145
 836.3140       -1644.53
 836.4150      -216.5402
 836.5160      -1877.952
 836.6170       1463.179
 836.7180       39474.26
 836.8190       76277.04
 836.9200       77348.04
 837.0210       67457.38
 837.1220       40581.87
 837.2230       37995.93
 837.3240       59868.88
 837.4250        69059.3
 837.5260       71860.34
 837.6270       64981.27
 837.7280       59589.71
 837.8290       63026.95
 837.9300        60006.2
 838.0310       48289.36
 838.1320       39126.42
 838.2330       13189.17
 838.3340      -1855.067
 838.4350       1380.795
 838.5360      -239.4247
 838.6370       4726.502
 838.7380        32375.5
 838.8390        60994.8
 838.9400       78661.61
 839.0410        84922.8
 839.1420       76830.85
 839.2430       56491.14
 839.3440       51520.64
 839.4450       65594.58
 839.5460       63255.79
 839.6470       54019.62
 839.7480       47955.24
 839.8490       52051.56
 839.9500       67086.65
 840.0510       49186.43
 840.1520       10749.69
 840.2530       12365.33
 840.3540        44339.5
 840.4550        45190.8
 840.5560       39941.11
 840.6570       58518.71
 840.7580       76176.36
 840.8590       78830.95
 840.9600       79993.48
 841.0610       76245.02
 841.1620       70670.36
 841.2630        76881.2
 841.3640       71022.77
 841.4650       52834.21
 841.5660       48234.43
 841.6670       51598.45
 841.7680       48481.58
 841.8690       51960.02
 841.9700       58642.28
 842.0710       76240.43
 842.1720       82158.35
 842.2730       63232.91
 842.3740       39140.15
 842.4750       23002.03
 842.5760        39446.8
 842.6770       31103.13
 842.7780       23903.68
 842.8790       22471.11
 842.9800       63988.09
 843.0810       80561.02
 843.1820       74968.05
 843.2830       83806.02
 843.3840       86277.55
 843.4850       83847.23
 843.5860       81270.44
 843.6870       80744.09
 843.7880       79274.91
 843.8890       80501.52
 843.9900        72482.8
 844.0910       60802.57
 844.1920        51667.1
 844.2930       46229.76
 844.3940       31785.08
 844.4950        15244.2
 844.5960       33313.77
 844.6970       43090.01
 844.7980       48724.16
 844.8990       64880.58
 845.0000       68606.18
 845.1010       39867.88
 845.2020       4813.463
 845.3030      -408.7696
 845.4040       524.9162
 845.5050        39.7657
 845.6060       9147.779
 845.7070       64486.97
 845.8080       81627.44
 845.9090       79403.05
 846.0100       72697.92
 846.1110        77494.5
 846.2120       80030.11
 846.3130        81714.4
 846.4140        83316.3
 846.5150       87636.89
 846.6160        86286.7
 846.7170       67416.19
 846.8180       21665.58
 846.9190       19024.71
 847.0200       18850.79
 847.1210       45300.64
 847.2220       75984.13
 847.3230       77247.34
 847.4240       71649.81
 847.5250       75425.74
 847.6260       84606.98
 847.7270       81677.78
 847.8280       77132.92
 847.9290       52587.05
 848.0300       7344.483
 848.1310       1431.141
 848.2320       30714.09
 848.3330       76913.23
 848.4340       75668.31
 848.5350       69960.94
 848.6360       54138.63
 848.7370       27098.35
 848.8380        10113.5
 848.9390       14319.67
 849.0400       28746.03
 849.1410       56509.45
 849.2420       79686.83
 849.3430       85650.52
 849.4440       83957.06
 849.5450       72459.92
 849.6460       14209.82
 849.7470      -614.7298
 849.8480       12022.07
 849.9490       66152.95
 850.0500       79174.21
 850.1510       66157.55
 850.2520       33428.19
 850.3530       30869.71
 850.4540       60271.65
 850.5550       77192.42
 850.6560        68166.8
 850.7570       31441.82
 850.8580       3719.586
 850.9590       1513.525
 851.0600       2840.823
 851.1610       15843.77
 851.2620       2291.596
 851.3630       1280.103
 851.4640       13459.21
 851.5650       12388.22
 851.6660       14420.36
 851.7670       18443.45
 851.8680       48444.97
 851.9690       33684.49
 852.0700        2579.94
 852.1710        616.454
 852.2720       27624.69
 852.3730       81778.48
 852.4740       85609.33
 852.5750       62802.67
 852.6760       25578.82
 852.7770       27977.11
 852.8780        41922.9
 852.9790       58903.16
 853.0800       67301.77
 853.1810       47003.25
 853.2820       24681.75
 853.3830       28585.84
 853.4840       36760.16
 853.5850       32348.04
 853.6860       29354.76
 853.7870       18640.25
 853.8880       22855.57
 853.9890       61804.92
 854.0900       82876.92
 854.1910       77210.73
 854.2920       84135.58
 854.3930       86465.21
 854.4940       86748.98
 854.5950       87783.35
 854.6960        90941.4
 854.7970       88813.16
 854.8980       89907.04
 854.9990       91582.17
 855.1000       93206.96
 855.2010       90730.87
 855.3020       76606.58
 855.4030       41973.24
 855.5040       36513.02
 855.6050       65841.73
 855.7060       70766.48
 855.8070       60431.85
 855.9080       63420.55
 856.0090       64967.55
 856.1100        47785.9
 856.2110       11280.61
 856.3120       12168.53
 856.4130       12836.75
 856.5140       8580.245
 856.6150       639.3385
 856.7160      -115.8486
 856.8170        -349.27
 856.9180      -582.6915
 857.0190      -1076.996
 857.1200      -404.1928
 857.2210      -1356.186
 857.3220       21271.96
 857.4230       17367.88
 857.5240       9468.161
 857.6250       10310.31
 857.7260        38595.5
 857.8270       65260.46
 857.9280       71013.62
 858.0290       70885.47
 858.1300       60175.54
 858.2310       26965.62
 858.3320        8955.55
 858.4330       12022.07
 858.5340       24324.75
 858.6350       56175.34
 858.7360        71393.5
 858.8370       76318.24
 858.9380       73288.34
 859.0390       80712.05
 859.1400       75187.74
 859.2410       45538.64
 859.3420       13491.25
 859.4430       396.7632
 859.5440       1728.639
 859.6450       3637.202
 859.7460       35432.87
 859.8470        68780.1
 859.9480        60065.7
 860.0490       15765.96
 860.1500       7431.445
 860.2510       47538.74
 860.3520       71686.41
 860.4530        64441.2
 860.5540       59095.39
 860.6550       57209.71
 860.7560       62729.45
 860.8570       58436.32
 860.9580       56060.91
 861.0590       23317.84
 861.1600       5504.574
 861.2610       21198.73
 861.3620       22704.53
 861.4630       13724.67
 861.5640       3371.743
 861.6650       4076.584
 861.7660       21670.15
 861.8670        45190.8
 861.9680       34682.25
 862.0690       28022.88
 862.1700       21830.35
 862.2710       11774.92
 862.3720        38339.2
 862.4730       18878.25
 862.5740       8868.591
 862.6750       11225.69
 862.7760         65828.
 862.8770       63658.56
 862.9780        21226.2
 863.0790       34302.38
 863.1800       44481.38
 863.2810       46188.56
 863.3820       42604.85
 863.4830       39680.23
 863.5840       26864.93
 863.6850       29112.18
 863.7860       27455.35
 863.8870       13198.33
 863.9880       7774.712
 864.0890       8049.326
 864.1900       51419.95
 864.2910       80043.83
 864.3920       80309.28
 864.4930       77045.97
 864.5940       60834.61
 864.6950       42051.05
 864.7960       21825.77
 864.8970       3861.469
 864.9980       3760.779
 865.0990       21322.31
 865.2000       54088.27
 865.3010       67727.41
 865.4020       60866.66
 865.5030       66450.46
 865.6040       71924.41
 865.7050       71517.08
 865.8060       66880.69
 865.9070       30100.79
 866.0080       1394.526
 866.1090      -829.8438
 866.2100        785.799
 866.3110       71.80396
 866.4120       4218.468
 866.5130       55781.73
 866.6140       79036.91
 866.7150        72839.8
 866.8160       51040.06
 866.9170       40847.33
 867.0180       37661.82
 867.1190       38233.93
 867.2200       47456.36
 867.3210       43900.12
 867.4220       28938.26
 867.5230       23157.64
 867.6240       4598.349
 867.7250       14882.63
 867.8260       56825.25
 867.9270       51941.71
 868.0280       28892.49
 868.1290        18452.6
 868.2300       22960.84
 868.3310       27972.54
 868.4320       11170.77
 868.5330      -660.4987
 868.6340      -1058.688
 868.7350      -326.3856
 868.8360       -440.808
 868.9370      -1401.955
 869.0380       433.3784
 869.1390       99.26528
 869.2400       6378.761
 869.3410       27807.77
 869.4420       53438.36
 869.5430       65622.04
 869.6440         66780.
 869.7450       54248.46
 869.8460       56568.95
 869.9470       16960.53
 870.0480        3861.47
 870.1490       30105.37
 870.2500       62605.88
 870.3510       51937.13
 870.4520        27601.8
 870.5530       4964.501
 870.6540       5275.729
 870.7550       6456.567
 870.8560      -1681.146
 870.9570      -962.5736
 871.0580       2882.015
 871.1590       40137.91
 871.2600       72084.61
 871.3610        76345.7
 871.4620       64660.89
 871.5630        43071.7
 871.6640       33062.04
 871.7650       54555.12
 871.8660       43108.31
 871.9670       1989.521
 872.0680      -1530.108
 872.1690       1129.066
 872.2700       2236.673
 872.3710       5449.651
 872.4720       5609.843
 872.5730      -1054.111
 872.6740       3161.206
 872.7750        35684.6
 872.8760        70226.4
 872.9770       76153.48
 873.0780        76286.2
 873.1790       75192.33
 873.2800       71933.58
 873.3810       68624.48
 873.4820       67796.06
 873.5830       74871.94
 873.6840       73279.18
 873.7850       68143.91
 873.8860       67397.88
 873.9870       69745.83
 874.0880        74542.4
 874.1890       62546.37
 874.2900       43904.69
 874.3910       55086.04
 874.4920       73114.41
 874.5930       68624.48
 874.6940       68061.52
 874.7950       70967.85
 874.8960       76926.97
 874.9970       76515.04
 875.0980       76382.31
 875.1990       76391.47
 875.3000       54518.51
 875.4010       45808.68
 875.5020       62944.55
 875.6030       75961.24
 875.7040       76258.73
 875.8050       74363.91
 875.9060        73256.3
 876.0070       64670.05
 876.1080       52500.09
 876.2090       48376.32
 876.3100        49767.7
 876.4110       25116.55
 876.5120      -655.9218
 876.6130       177.0724
 876.7140       112.9959
 876.8150       3060.514
 876.9160       4085.738
 877.0170       31862.89
 877.1180       58701.78
 877.2190       67008.84
 877.3200       72382.11
 877.4210       76771.35
 877.5220       77828.61
 877.6230       78368.68
 877.7240       79563.26
 877.8250       77705.05
 877.9260       75082.48
 878.0270       64651.74
 878.1280       72400.42
 878.2290       78423.61
 878.3300       73178.49
 878.4310       65562.54
 878.5320       49580.04
 878.6330       64761.59
 878.7340       65466.43
 878.8350       68798.41
 878.9360       60985.65
 879.0370        71494.2
 879.1380       67521.45
 879.2390       56147.88
 879.3400       69988.39
 879.4410       76272.48
 879.5420       78634.14
 879.6430       77128.34
 879.7440       75961.24
 879.8450       78258.84
 879.9460       78844.68
 880.0470       78231.38
 880.1480       74418.83
 880.2490       74386.78
 880.3500       73128.14
 880.4510       71732.19
 880.5520       73645.33
 880.6530       71631.51
 880.7540       62180.23
 880.8550        54715.3
 880.9560       48527.35
 881.0570       25501.01
 881.1580        20036.2
 881.2590        46893.4
 881.3600       71475.88
 881.4610       77567.73
 881.5620        77256.5
 881.6630       72711.64
 881.7640       66866.95
 881.8650       68359.02
 881.9660       73421.06
 882.0670        69828.2
 882.1680       59287.63
 882.2690       29478.33
 882.3700       19834.82
 882.4710        39744.3
 882.5720       33698.23
 882.6730       25711.55
 882.7740       45222.84
 882.8750       58537.01
 882.9760       40792.41
 883.0770        12292.1
 883.1780       968.8746
 883.2790       103.8422
 883.3800      -1122.765
 883.4810      -454.5386
 883.5820        2227.52
 883.6830       -1498.07
 883.7840       1408.256
 883.8850       8058.479
 883.9860       5101.808
 884.0870       3147.475
 884.1880       6653.374
 884.2890       23766.37
 884.3900       8031.019
 884.4910       254.8796
 884.5920       735.4532
 884.6930       28270.03
 884.7940       67594.68
 884.8950        67571.8
 884.9960       62747.75
 885.0970       59099.98
 885.1980       56774.91
 885.2990       52216.33
 885.4000       59035.89
 885.5010        63512.1
 885.6020       58468.36
 885.7030       60413.54
 885.8040        68304.1
 885.9050       70029.59
 886.0060       47991.86
 886.1070       14205.25
 886.2080       13472.94
 886.3090       50165.88
 886.4100       65466.43
 886.5110       56509.46
 886.6120       46893.41
 886.7130       52284.98
 886.8140       64633.44
 886.9150       67969.98
 887.0160       66743.38
 887.1170       49076.58
 887.2180       21221.62
 887.3190       22681.65
 887.4200       27112.08
 887.5210       27876.42
 887.6220       48275.62
 887.7230        49447.3
 887.8240       33341.23
 887.9250       16241.96
 888.0260       7280.408
 888.1270       1934.599
 888.2280       5939.379
